event_id,datetime,phi,dt,phi_error,dt_error,quality,success
144_35750,2015-03-20T03:26:05.167000Z,-78.10270303295073,0.02,37.0,0.015,-0.5372519017120267,True
144_35751,2015-03-20T03:26:23.685000Z,-89.67951328946987,0.03,23.0,0.01,0.9371460638945291,True
144_35753,2015-03-20T03:26:49.705000Z,-33.11256076927259,0.18,72.0,0.12,-0.6198603245654222,True
144_35754,2015-03-20T03:27:52.975000Z,-84.87787768190361,0.03,26.0,0.005,0.9371460638945291,True
144_35755,2015-03-20T03:27:59.841000Z,89.52243618956368,0.03,22.0,0.005,0.8428651597363228,True
144_35756,2015-03-20T03:28:09.224000Z,83.04171907573289,0.03,19.0,0.005,0.8114381916835873,True
144_35757,2015-03-20T03:29:50.600000Z,-83.80183447184777,0.05,4.0,0.005,-0.9528595479208969,True
144_35758,2015-03-20T03:33:22.837000Z,-61.48931627557812,0.02,7.0,0.005,0.9685730319472645,True
144_35760,2015-03-20T03:35:22.666000Z,80.4767490111023,0.04,17.0,0.005,0.2234533553236968,True
144_35761,2015-03-20T03:35:34.980000Z,-56.306057023528524,0.11,51.0,0.01,0.0,True
144_35763,2015-03-20T03:37:33.696000Z,-78.52215952049323,0.08,53.0,0.145,0.053922979670755544,True
144_35764,2015-03-20T03:38:13.817000Z,53.05556080314102,0.05,66.0,0.135,0.006192010000093506,True
144_35765,2015-03-20T03:39:09.489000Z,9.34612548913617,0.23,3.0,0.005,-0.890005611815426,True
144_35766,2015-03-20T03:41:11.820000Z,-59.35370506500635,0.11,52.0,0.03,0.11290815260209697,True
144_35767,2015-03-20T03:41:49.392000Z,-65.75354305596909,0.02,12.0,0.005,0.9371460638945291,True
144_35768,2015-03-20T03:44:05.505000Z,41.2223732454886,0.17,54.0,0.03,1.0,True
144_35769,2015-03-20T03:44:59.441000Z,4.472601188468644,0.12,57.0,0.115,0.6409030530846153,True
144_35770,2015-03-20T03:45:55.980000Z,-46.565169690886705,0.14,54.0,0.11,0.3301624915474598,True
144_35771,2015-03-20T03:46:15.175000Z,-72.65474037550109,0.01,56.0,0.105,-0.8585786437626906,True
144_35773,2015-03-20T03:48:46.738000Z,78.22213744259051,0.03,18.0,0.005,0.8114381916835873,True
