event_id,datetime,phi,dt,phi_error,dt_error,quality,success
170_42250,2015-03-24T16:12:55.475000Z,30.089672655322374,0.26,9.0,0.005,0.0,True
170_42251,2015-03-24T16:13:30.851000Z,-80.10950841589192,0.02,13.0,0.01,-0.5750817072006014,True
170_42253,2015-03-24T16:15:23.018000Z,-81.25189453535245,0.05,51.0,0.075,0.09446148618625827,True
170_42254,2015-03-24T16:16:01.591000Z,15.491641106598593,0.21,52.0,0.06,-0.9528595479208969,True
170_42258,2015-03-24T16:17:29.291000Z,-77.04446311628737,0.14,50.0,0.05,-0.9528595479208969,True
170_42259,2015-03-24T16:19:01.291000Z,-76.35646926167465,0.03,13.0,0.005,0.9057190958417937,True
170_42261,2015-03-24T16:22:25.444000Z,52.883636139751104,0.02,54.0,0.01,0.0,True
170_42263,2015-03-24T16:26:18.109000Z,-83.55061650102596,0.05,6.0,0.005,-0.8585786437626906,True
170_42265,2015-03-24T16:27:09.211000Z,-70.84776019698734,0.03,17.0,0.01,-0.7637745374947855,True
170_42266,2015-03-24T16:27:17.774000Z,-74.27064284905816,0.03,58.0,0.015,-0.619616827363918,True
170_42267,2015-03-24T16:28:16.626000Z,24.661210036386933,0.2,51.0,0.03,0.7855526770486803,True
170_42268,2015-03-24T16:28:35.196000Z,88.47675383273196,0.06,63.0,0.125,-0.9214325798681613,True
170_42269,2015-03-24T16:31:02.457000Z,15.344451772861476,0.23,60.0,0.1,0.0,True
170_42270,2015-03-24T16:32:00.331000Z,-84.26008112501108,0.05,48.0,0.11,0.0110486911085943,True
170_42271,2015-03-24T16:32:51.516000Z,5.771130749038605,0.12,48.0,0.13,0.0,True
170_42272,2015-03-24T16:32:58.439000Z,6.272724628296032,0.15,4.0,0.005,0.0,True
170_42274,2015-03-24T16:33:21.877000Z,-86.46755266047734,0.04,48.0,0.09,-0.7328707715517487,True
170_42276,2015-03-24T16:33:55.950000Z,-52.909081176081145,0.03,18.0,0.005,-0.29920679861237864,True
170_42277,2015-03-24T16:34:19.798000Z,-86.62485887225091,0.04,52.0,0.09,-0.8585786437626906,True
170_42278,2015-03-24T16:34:47.918000Z,-88.61406040091686,0.04,48.0,0.09,-0.8585786437626906,True
170_42279,2015-03-24T16:35:02.898000Z,8.630098645083933,0.13,48.0,0.05,0.0,True
170_42281,2015-03-24T16:35:13.580000Z,1.0828534844230262,0.14,52.0,0.11,0.0,True
170_42282,2015-03-24T16:35:28.631000Z,30.04644070603473,0.14,54.0,0.045,-0.8199234506715551,True
170_42283,2015-03-24T16:35:38.187000Z,1.0621951315141018,0.14,49.0,0.095,0.0,True
170_42284,2015-03-24T16:35:52.289000Z,-19.869207480705995,0.25,48.0,0.12,-0.3219563363052914,True
170_42285,2015-03-24T16:36:02.641000Z,86.60464469739588,0.03,52.0,0.1,0.0,True
170_42287,2015-03-24T16:36:31.871000Z,-79.36641662070758,0.05,46.0,0.11,-0.9214325798681613,True
170_42289,2015-03-24T16:37:09.560000Z,-82.77440756933385,0.04,48.0,0.09,-0.9528595479208969,True
170_42290,2015-03-24T16:37:15.121000Z,4.671547955734525,0.13,49.0,0.03,0.0,True
170_42294,2015-03-24T16:38:13.887000Z,-0.019506517518152577,0.15,51.0,0.1,-0.8585786437626906,True
170_42295,2015-03-24T16:38:56.486000Z,-58.82986920012149,0.02,20.0,0.01,0.0,True
170_42297,2015-03-24T16:39:11.771000Z,-67.94255675306749,0.17,53.0,0.065,-0.890005611815426,True
170_42298,2015-03-24T16:39:19.062000Z,-82.03927017431516,0.02,51.0,0.135,0.0,True
170_42299,2015-03-24T16:39:33.806000Z,-63.21060175117276,0.02,9.0,0.005,0.9685730319472645,True
170_42300,2015-03-24T16:39:40.265000Z,-68.32456562721319,0.02,12.0,0.025,0.0,True
170_42301,2015-03-24T16:39:46.893000Z,-56.0074948978812,0.02,51.0,0.09,0.5055243455542971,True
170_42302,2015-03-24T16:39:54.366000Z,-66.66272160637351,0.02,57.0,0.14,0.5472307430931291,True
170_42303,2015-03-24T16:40:18.760000Z,-84.47908244263726,0.05,49.0,0.105,1.0,True
170_42304,2015-03-24T16:40:33.239000Z,-53.334571986317656,0.03,54.0,0.085,0.6543033514199101,True
170_42306,2015-03-24T16:41:33.227000Z,-79.86254161965007,0.05,49.0,0.095,-0.8900056118154259,True
170_42307,2015-03-24T16:41:44.558000Z,0.5061574077677733,0.1,48.0,0.105,0.0,True
170_42308,2015-03-24T16:43:37.914000Z,40.620692615245275,0.26,54.0,0.12,-0.07131019564056662,True
170_42309,2015-03-24T16:43:55.135000Z,8.530154836177758,0.1,48.0,0.11,0.0,True
170_42310,2015-03-24T16:44:20.877000Z,-88.0472273085008,0.04,48.0,0.09,0.0,True
170_42311,2015-03-24T16:44:38.206000Z,-52.96466143282271,0.02,54.0,0.11,0.0,True
170_42312,2015-03-24T16:45:14.611000Z,5.074369185882517,0.13,6.0,0.005,0.0,True
170_42313,2015-03-24T16:45:27.519000Z,-76.48661089333893,0.16,62.0,0.095,-0.009064520263806553,True
170_42314,2015-03-24T16:45:44.339000Z,-82.62658845416712,0.02,5.0,0.005,1.0,True
170_42315,2015-03-24T16:45:59.972000Z,-81.19884889835873,0.06,9.0,0.025,0.8664353857758744,True
170_42316,2015-03-24T16:46:09.681000Z,-44.73118357526522,0.03,21.0,0.005,0.9057190958417937,True
170_42317,2015-03-24T16:46:15.955000Z,80.73437736836115,0.02,7.0,0.005,0.0,True
170_42318,2015-03-24T16:46:29.499000Z,-8.906651325674716,0.17,57.0,0.105,0.0,True
170_42319,2015-03-24T16:46:45.558000Z,-85.06147231290231,0.05,5.0,0.005,1.0,True
170_42320,2015-03-24T16:46:57.471000Z,10.815816352146157,0.14,50.0,0.1,-0.9528595479208969,True
170_42321,2015-03-24T16:47:02.283000Z,-89.67338384915195,0.05,5.0,0.005,-0.7328707715517487,True
170_42322,2015-03-24T16:47:08.863000Z,4.330505809369356,0.12,48.0,0.125,-0.6071628993408069,True
170_42323,2015-03-24T16:47:17.678000Z,-84.71616063320903,0.05,48.0,0.09,-0.8271516757099551,True
170_42324,2015-03-24T16:47:33.047000Z,-84.80047271521886,0.05,5.0,0.005,0.0,True
170_42325,2015-03-24T16:47:46.301000Z,-87.42812201452193,0.05,3.0,0.005,1.0,True
170_42326,2015-03-24T16:47:54.830000Z,-77.20312179390777,0.16,50.0,0.015,0.0,True
170_42327,2015-03-24T16:48:05.683000Z,-79.22076157299568,0.16,50.0,0.02,-0.9842865159736323,True
