event_id,datetime,phi,dt,phi_error,dt_error,quality,success
201_50002,2015-03-30T21:07:45.455000Z,-31.763667140201562,0.03,24.0,0.005,1.0,True
201_50003,2015-03-30T21:09:53.293000Z,10.268077526750744,0.15,52.0,0.03,0.9433442276267469,True
201_50004,2015-03-30T21:11:49.080000Z,8.658136639717952,0.16,48.0,0.06,-0.9842865159736324,True
201_50005,2015-03-30T21:11:55.893000Z,-33.66305084964182,0.03,29.0,0.005,0.5600224472617037,True
201_50006,2015-03-30T21:12:28.798000Z,5.70683578101756,0.12,49.0,0.125,-0.7328707715517487,True
201_50007,2015-03-30T21:13:11.880000Z,-44.70900925239124,0.06,53.0,0.09,0.0,True
201_50010,2015-03-30T21:14:44.560000Z,-67.95938754830138,0.05,8.0,0.005,-0.7642977396044842,True
201_50011,2015-03-30T21:14:56.880000Z,59.65364426533495,0.06,56.0,0.065,0.5747912640410566,True
201_50012,2015-03-30T21:15:23.222000Z,59.5634807196559,0.03,13.0,0.03,0.0,True
201_50013,2015-03-30T21:15:45.120000Z,-89.06932119848591,0.02,59.0,0.115,0.0,True
201_50014,2015-03-30T21:15:52.166000Z,-17.848155321033687,0.21,58.0,0.05,-0.8573016755831266,True
201_50015,2015-03-30T21:15:59.159000Z,4.314769148450154,0.13,49.0,0.14,0.0110486911085943,True
201_50017,2015-03-30T21:17:08.880000Z,-77.05699705326185,0.02,13.0,0.005,0.9057190958417937,True
201_50020,2015-03-30T21:17:43.280000Z,-69.61258575202692,0.02,13.0,0.005,0.7800112236308518,True
201_50021,2015-03-30T21:18:17.344000Z,-9.578689007740081,0.14,7.0,0.005,0.07450380342405338,True
201_50022,2015-03-30T21:18:49.557000Z,-86.62988597754145,0.05,4.0,0.005,-0.890005611815426,True
201_50023,2015-03-30T21:18:57.520000Z,6.3822811834296544,0.13,50.0,0.015,0.0,True
201_50024,2015-03-30T21:19:44.672000Z,-63.723505336461585,0.02,9.0,0.005,-0.8585786437626906,True
201_50025,2015-03-30T21:20:28.942000Z,5.865006354503578,0.17,48.0,0.04,0.0,True
201_50027,2015-03-30T21:21:46.382000Z,13.030075658099008,0.18,50.0,0.03,0.9496923047881255,True
201_50028,2015-03-30T21:22:09.760000Z,21.974388804872774,0.25,50.0,0.115,0.71541670055854,True
201_50029,2015-03-30T21:22:45.920000Z,-73.58134516450502,0.03,9.0,0.005,0.9057190958417937,True
201_50030,2015-03-30T21:23:32.560000Z,3.41232052921913,0.13,49.0,0.095,0.0,True
201_50031,2015-03-30T21:23:47.028000Z,-80.76597152106041,0.03,25.0,0.005,0.21291285562556284,True
201_50032,2015-03-30T21:24:18.080000Z,-71.02785509783945,0.03,12.0,0.005,0.8114381916835873,True
201_50034,2015-03-30T21:26:08.220000Z,-82.05026301866178,0.02,15.0,0.005,1.0,True
201_50035,2015-03-30T21:26:17.670000Z,-71.93018462456268,0.03,10.0,0.005,0.9057190958417937,True
201_50036,2015-03-30T21:26:32.121000Z,-74.50077843742338,0.03,47.0,0.1,1.0,True
201_50037,2015-03-30T21:27:55.162000Z,77.83887935021562,0.13,55.0,0.055,0.9168784193749455,True
201_50039,2015-03-30T21:28:33.894000Z,-81.05315698063055,0.02,6.0,0.025,-0.8585786437626906,True
201_50040,2015-03-30T21:29:09.716000Z,-42.26224377980327,0.03,18.0,0.005,0.8742921277890582,True
201_50041,2015-03-30T21:29:26.642000Z,14.113623723118167,0.04,7.0,0.005,0.0,True
201_50045,2015-03-30T21:31:04.040000Z,14.825932423670451,0.17,48.0,0.03,0.1501634144012025,True
201_50046,2015-03-30T21:31:34.466000Z,63.65889558346271,0.04,27.0,0.005,0.6228763833671747,True
201_50047,2015-03-30T21:32:38.882000Z,-88.88044025712838,0.03,17.0,0.005,0.9685730319472645,True
201_50051,2015-03-30T21:35:18.094000Z,85.20653364037935,0.09,9.0,0.005,0.1501634144012025,True
201_50052,2015-03-30T21:35:54.478000Z,-82.71227393705584,0.05,51.0,0.1,0.0,True
201_50054,2015-03-30T21:36:10.392000Z,-88.06004066853097,0.09,52.0,0.13,0.21291285562556284,True
201_50056,2015-03-30T21:36:53.154000Z,-59.74537743490856,0.07,91.0,0.15,-0.7435635806126426,True
201_50057,2015-03-30T21:36:57.920000Z,83.9250790348222,0.13,54.0,0.115,-0.8271516757099551,True
201_50058,2015-03-30T21:37:29.300000Z,-79.07164613562634,0.03,10.0,0.005,0.6857303194726456,True
201_50059,2015-03-30T21:37:36.436000Z,75.95975906676358,0.02,20.0,0.01,0.4597097259371463,True
201_50060,2015-03-30T21:40:59.392000Z,-78.93691787476007,0.03,11.0,0.005,0.6228763833671747,True
201_50064,2015-03-30T21:44:53.627000Z,-60.26833897536994,0.03,14.0,0.005,0.9371460638945291,True
201_50065,2015-03-30T21:46:12.183000Z,-60.57388359281532,0.15,53.0,0.04,0.0,True
201_50066,2015-03-30T21:46:42.868000Z,34.1403108195407,0.04,57.0,0.145,0.0,True
201_50067,2015-03-30T21:48:03.385000Z,-12.600005266953843,0.14,51.0,0.135,-0.9214325798681613,True
201_50068,2015-03-30T21:48:18.240000Z,-53.56745493811036,0.02,60.0,0.115,1.0,True
201_50069,2015-03-30T21:49:18.754000Z,26.562628550035072,0.15,55.0,0.03,0.0,True
201_50070,2015-03-30T21:49:43.002000Z,-84.48443564217439,0.05,4.0,0.005,-0.8585786437626906,True
201_50071,2015-03-30T21:49:55.410000Z,3.619932576502606,0.12,48.0,0.05,0.941074434901121,True
201_50073,2015-03-30T21:50:29.170000Z,-79.35316409169445,0.05,5.0,0.01,-0.9528595479208969,True
201_50074,2015-03-30T21:50:45.482000Z,-77.29162074718852,0.09,53.0,0.1,-0.8585786437626906,True
201_50075,2015-03-30T21:50:57.944000Z,5.709320635830636,0.16,51.0,0.045,0.0,True
201_50076,2015-03-30T21:52:58.310000Z,-83.4887251096759,0.05,4.0,0.005,0.0327587914302061,True
201_50077,2015-03-30T21:53:07.240000Z,5.803531311070742,0.17,51.0,0.105,0.0,True
201_50078,2015-03-30T21:53:52.478000Z,86.19914734798073,0.03,16.0,0.005,0.0,True
201_50079,2015-03-30T21:54:50.598000Z,-80.91918541288004,0.01,11.0,0.005,0.9685730319472645,True
201_50080,2015-03-30T21:55:18.474000Z,-89.49384665595824,0.03,24.0,0.005,0.9685730319472645,True
201_50083,2015-03-30T21:56:10.704000Z,-61.22311245947111,0.02,58.0,0.09,0.9371460638945291,True
201_50085,2015-03-30T21:56:24.320000Z,20.985769006940046,0.15,50.0,0.095,-0.2788897449072021,True
201_50086,2015-03-30T21:56:29.320000Z,4.212326415015127,0.18,51.0,0.105,0.8010831801114648,True
201_50087,2015-03-30T21:56:41.440000Z,-85.46312594154853,0.06,51.0,0.145,-0.9214325798681613,True
201_50089,2015-03-30T21:57:05.143000Z,-87.24719345594644,0.08,91.0,0.15,0.0,True
201_50090,2015-03-30T21:57:14.398000Z,4.1640846185025,0.05,61.0,0.105,0.0,True
201_50092,2015-03-30T21:57:30.133000Z,73.73084195685487,0.12,50.0,0.03,0.0,True
201_50094,2015-03-30T21:57:50.374000Z,16.41680927487255,0.01,55.0,0.1,0.0,True
201_50096,2015-03-30T21:58:11.910000Z,15.970470137891311,0.19,5.0,0.005,0.9192050711617753,True
201_50097,2015-03-30T21:58:29.400000Z,53.09167754565351,0.02,64.0,0.14,0.0,True
201_50098,2015-03-30T21:58:51.180000Z,-66.1678752833966,0.03,58.0,0.135,0.4028876069980265,True
201_50099,2015-03-30T21:59:14.342000Z,-67.50244402645879,0.03,2.0,0.005,1.0,True
201_50100,2015-03-30T21:59:22.156000Z,-63.30051216618588,0.1,51.0,0.07,0.16718534660251072,True
201_50101,2015-03-30T21:59:38.456000Z,43.92567548570764,0.03,47.0,0.02,0.0,True
201_50102,2015-03-30T22:00:41.731000Z,0.29463609980621186,0.08,54.0,0.06,0.5405275099249114,True
201_50103,2015-03-30T22:00:58.315000Z,-77.53527643618173,0.09,52.0,0.055,0.0327587914302061,True
201_50104,2015-03-30T22:01:11.320000Z,13.770657745893487,0.17,51.0,0.055,-0.9528595479208969,True
201_50105,2015-03-30T22:01:21.500000Z,-66.7433021046296,0.02,61.0,0.115,1.0,True
201_50106,2015-03-30T22:01:38.600000Z,-35.38438724316384,0.04,62.0,0.13,0.0,True
201_50107,2015-03-30T22:01:58.320000Z,-67.58343951102921,0.1,10.0,0.005,0.053922979670755544,True
201_50108,2015-03-30T22:02:05.802000Z,1.4161039644925495,0.02,57.0,0.11,0.4107443490112104,True
201_50109,2015-03-30T22:02:27.120000Z,21.90947363817355,0.18,50.0,0.13,-0.34505678316059285,True
