event_id,datetime,phi,dt,phi_error,dt_error,quality,success
238_59250,2015-04-06T12:13:54.954000Z,-8.702952374778306,0.12,49.0,0.13,-0.8271516757099551,True
238_59251,2015-04-06T12:14:45.339000Z,75.72271312078453,0.04,15.0,0.005,0.9685730319472645,True
238_59252,2015-04-06T12:14:53.887000Z,-88.23189507627887,0.07,12.0,0.005,-0.7642977396044841,True
238_59253,2015-04-06T12:15:19.593000Z,-82.91587809777229,0.05,60.0,0.125,0.18335222999942413,True
238_59254,2015-04-06T12:15:50.955000Z,-61.88813464142794,0.02,9.0,0.005,-0.5372519017120267,True
238_59255,2015-04-06T12:16:29.562000Z,-34.18126158937764,0.02,17.0,0.005,0.7800112236308518,True
238_59256,2015-04-06T12:18:18.102000Z,-75.2340154633743,0.03,11.0,0.005,0.9685730319472645,True
238_59257,2015-04-06T12:18:45.167000Z,18.097632397421535,0.25,53.0,0.115,0.8190286838088682,True
238_59258,2015-04-06T12:19:07.039000Z,-77.55852041617516,0.02,9.0,0.01,1.0,True
238_59259,2015-04-06T12:20:08.346000Z,-80.12046588144233,0.03,6.0,0.005,0.9685730319472645,True
238_59260,2015-04-06T12:20:42.436000Z,-87.27904489225273,0.05,50.0,0.11,0.0,True
238_59261,2015-04-06T12:20:48.273000Z,-73.7608769826328,0.03,13.0,0.005,0.9371460638945291,True
238_59262,2015-04-06T12:21:03.793000Z,5.454056222775193,0.13,50.0,0.02,0.0,True
238_59263,2015-04-06T12:21:39.487000Z,-73.51025756318745,0.03,8.0,0.005,0.8742921277890582,True
238_59264,2015-04-06T12:22:13.179000Z,68.11558873093611,0.14,50.0,0.03,0.011906993054090376,True
238_59265,2015-04-06T12:23:55.283000Z,-71.5590895878019,0.03,8.0,0.005,0.9685730319472645,True
238_59266,2015-04-06T12:25:51.003000Z,-46.91064620144243,0.08,54.0,0.075,-0.7298548629685732,True
238_59267,2015-04-06T12:26:13.006000Z,-73.74209786598897,0.03,7.0,0.005,0.9685730319472645,True
238_59268,2015-04-06T12:27:04.501000Z,5.2269281290712115,0.16,49.0,0.095,0.0,True
238_59269,2015-04-06T12:27:51.840000Z,39.535337521935745,0.04,12.0,0.005,0.8428651597363228,True
238_59270,2015-04-06T12:28:55.801000Z,-56.693415044862434,0.03,21.0,0.005,0.7800112236308518,True
238_59271,2015-04-06T12:29:37.371000Z,-64.99949235396639,0.03,47.0,0.005,0.8114381916835873,True
238_59272,2015-04-06T12:30:35.488000Z,-69.02718968717977,0.03,21.0,0.01,0.8742921277890582,True
238_59274,2015-04-06T12:33:55.310000Z,-74.10088744285326,0.02,11.0,0.005,0.9685730319472645,True
238_59275,2015-04-06T12:34:19.670000Z,-88.6299094126191,0.05,3.0,0.005,-0.9214325798681613,True
238_59276,2015-04-06T12:34:48.857000Z,-87.45880010968483,0.05,3.0,0.005,-0.7957247076572196,True
238_59278,2015-04-06T12:35:39.225000Z,-83.04066046101792,0.06,49.0,0.065,0.0,True
238_59280,2015-04-06T12:36:32.765000Z,-88.69831526273447,0.03,18.0,0.005,0.9057190958417937,True
238_59281,2015-04-06T12:36:48.845000Z,-84.31620133384945,0.02,49.0,0.09,-0.9528595479208969,True
238_59283,2015-04-06T12:37:38.239000Z,-83.97531848199549,0.06,49.0,0.11,-0.9214325798681613,True
238_59284,2015-04-06T12:37:50.828000Z,83.75092208725971,0.02,53.0,0.125,-0.8271516757099551,True
238_59285,2015-04-06T12:38:07.108000Z,-80.75801364842295,0.06,48.0,0.065,0.16718534660251072,True
238_59286,2015-04-06T12:38:48.882000Z,88.68729522468976,0.05,48.0,0.095,-0.9842865159736323,True
238_59287,2015-04-06T12:38:54.973000Z,-67.41089374312281,0.03,8.0,0.005,0.7171572875253809,True
238_59288,2015-04-06T12:39:19.205000Z,63.502359660080174,0.04,13.0,0.005,0.8742921277890582,True
238_59289,2015-04-06T12:39:33.410000Z,14.201863588473657,0.25,47.0,0.1,0.0,True
238_59290,2015-04-06T12:39:55.087000Z,82.24481247350616,0.14,56.0,0.145,0.9057190958417937,True
238_59292,2015-04-06T12:40:25.982000Z,73.57582744901481,0.11,16.0,0.01,0.13233675531757172,True
238_59293,2015-04-06T12:40:55.494000Z,-11.893712662943244,0.05,66.0,0.13,-0.5418771527091488,True
238_59295,2015-04-06T12:42:03.715000Z,0.7769953341494897,0.23,50.0,0.095,0.0,True
238_59296,2015-04-06T12:42:22.164000Z,-76.24093693560894,0.05,13.0,0.005,0.5068368661961744,True
238_59297,2015-04-06T12:42:33.752000Z,4.922043080151184,0.13,49.0,0.06,-0.9214325798681613,True
238_59298,2015-04-06T12:42:39.175000Z,82.370306508912,0.02,47.0,0.115,0.0,True
238_59300,2015-04-06T12:43:19.675000Z,21.985080809530814,0.25,7.0,0.005,0.7651583144244817,True
238_59301,2015-04-06T12:43:30.459000Z,77.43354996898847,0.15,54.0,0.12,0.0,True
238_59303,2015-04-06T12:44:21.031000Z,-83.94340816294402,0.02,49.0,0.14,-0.8585786437626906,True
238_59305,2015-04-06T12:44:44.096000Z,9.365774377533967,0.06,60.0,0.095,0.0,True
238_59306,2015-04-06T12:44:48.743000Z,86.21546194187721,0.26,25.0,0.005,0.5915352512810743,True
238_59308,2015-04-06T12:45:31.643000Z,12.365570471041622,0.06,7.0,0.005,0.9371460638945291,True
238_59309,2015-04-06T12:45:43.142000Z,59.86290596294049,0.02,10.0,0.005,0.2756441771997057,True
238_59311,2015-04-06T12:45:50.775000Z,70.21987439719385,0.07,55.0,0.085,0.46575569108556913,True
238_59312,2015-04-06T12:45:59.707000Z,-70.16677905029019,0.02,8.0,0.005,0.0,True
238_59313,2015-04-06T12:47:10.755000Z,5.901507204213658,0.05,49.0,0.1,0.0,True
238_59314,2015-04-06T12:47:19.146000Z,-84.1166128009744,0.02,48.0,0.095,0.13233675531757172,True
238_59315,2015-04-06T12:49:32.136000Z,-85.2014420424394,0.06,50.0,0.065,-0.890005611815426,True
238_59316,2015-04-06T12:50:01.711000Z,-80.34447048923397,0.06,51.0,0.085,-0.7328707715517487,True
238_59317,2015-04-06T12:50:44.057000Z,-83.83831291451514,0.06,50.0,0.06,-0.890005611815426,True
238_59318,2015-04-06T12:51:06.040000Z,-83.69621660349947,0.06,50.0,0.06,-0.9842865159736324,True
238_59321,2015-04-06T12:52:03.888000Z,-88.30253639243142,0.05,48.0,0.095,-0.9842865159736324,True
238_59322,2015-04-06T12:52:26.530000Z,-22.03799434108828,0.22,56.0,0.085,-0.3575471704473676,True
238_59323,2015-04-06T12:53:01.818000Z,-87.69559523988323,0.05,2.0,0.005,0.0,True
238_59324,2015-04-06T12:54:35.342000Z,-87.67712497633568,0.05,3.0,0.005,-0.8900056118154259,True
238_59325,2015-04-06T12:54:51.899000Z,-12.550420682175684,0.15,50.0,0.09,0.0,True
238_59326,2015-04-06T12:54:59.039000Z,38.21978479595282,0.03,55.0,0.09,0.8428651597363228,True
238_59327,2015-04-06T12:55:36.703000Z,-66.86629209316851,0.03,18.0,0.01,1.0,True
238_59329,2015-04-06T12:56:06.562000Z,-2.469964068351885,0.15,48.0,0.145,-0.9528595479208969,True
238_59330,2015-04-06T12:56:28.916000Z,-14.137847022024175,0.01,55.0,0.085,-0.9528595479208969,True
238_59331,2015-04-06T12:56:33.260000Z,38.46331699663983,0.03,24.0,0.005,0.9057190958417937,True
238_59332,2015-04-06T12:57:16.402000Z,62.08320620766301,0.09,57.0,0.12,0.0,True
