event_id,datetime,phi,dt,phi_error,dt_error,quality,success
176_43750,2015-03-25T15:16:51.670000Z,71.60587332490388,0.03,58.0,0.1,-0.23003928270798146,True
176_43752,2015-03-25T15:17:25.433000Z,-89.16781330017068,0.09,53.0,0.05,-0.8585786437626906,True
176_43753,2015-03-25T15:17:50.749000Z,82.95529674968054,0.11,56.0,0.145,-0.9528595479208969,True
176_43754,2015-03-25T15:18:09.918000Z,-61.90890533392155,0.09,58.0,0.045,-0.8420814399605345,True
176_43756,2015-03-25T15:19:09.662000Z,14.837313290727025,0.06,50.0,0.075,0.0,True
176_43757,2015-03-25T15:19:52.227000Z,24.786882334996335,0.16,49.0,0.035,0.0,True
176_43759,2015-03-25T15:20:58.160000Z,-84.61358553964772,0.05,51.0,0.14,-0.8900056118154259,True
176_43760,2015-03-25T15:21:10.040000Z,-84.58615682880543,0.05,4.0,0.005,-0.9214325798681613,True
176_43762,2015-03-25T15:21:25.402000Z,-81.55366614007028,0.05,51.0,0.125,-0.9842865159736324,True
176_43765,2015-03-25T15:22:17.660000Z,7.137272518656999,0.16,50.0,0.095,0.0,True
176_43766,2015-03-25T15:22:24.498000Z,-72.84597193442158,0.05,52.0,0.09,-0.9214325798681613,True
176_43768,2015-03-25T15:22:47.432000Z,-76.4449312525561,0.05,50.0,0.08,-0.9214325798681613,True
176_43769,2015-03-25T15:22:52.280000Z,-69.31238091466747,0.05,54.0,0.085,-0.7064478930306022,True
176_43770,2015-03-25T15:23:01.571000Z,22.794962891968225,0.27,7.0,0.005,-0.3821582766907625,True
176_43772,2015-03-25T15:24:33.431000Z,-81.9049985272012,0.05,50.0,0.09,1.0,True
176_43773,2015-03-25T15:24:54.540000Z,-6.117060981142316,0.1,51.0,0.01,0.0,True
176_43774,2015-03-25T15:26:12.550000Z,-79.20713490619278,0.09,50.0,0.035,0.0,True
176_43775,2015-03-25T15:26:22.278000Z,23.254981748466548,0.27,11.0,0.005,0.9476217199121075,True
176_43776,2015-03-25T15:30:01.696000Z,-76.78784912090345,0.02,10.0,0.01,-0.9842865159736323,True
176_43777,2015-03-25T15:30:43.968000Z,-39.856316772794116,0.16,57.0,0.05,0.9231641861893126,True
176_43778,2015-03-25T15:31:32.711000Z,9.533593895448007,0.02,14.0,0.01,0.0,True
176_43779,2015-03-25T15:31:45.869000Z,23.22151885021077,0.18,56.0,0.05,0.0,True
176_43780,2015-03-25T15:32:23.459000Z,-64.91751220314347,0.04,18.0,0.01,0.9685730319472645,True
176_43781,2015-03-25T15:32:35.642000Z,-78.42469824372256,0.03,15.0,0.01,0.7800112236308518,True
176_43782,2015-03-25T15:32:59.170000Z,82.80464883048512,0.06,52.0,0.095,-0.8900056118154259,True
176_43783,2015-03-25T15:33:18.137000Z,75.12776404696626,0.02,9.0,0.005,0.9057190958417937,True
176_43784,2015-03-25T15:33:58.760000Z,30.387358186082793,0.18,63.0,0.105,0.0,True
176_43785,2015-03-25T15:34:18.021000Z,-63.962883453031054,0.03,24.0,0.01,0.6228763833671747,True
176_43786,2015-03-25T15:34:23.490000Z,23.2352131803313,0.18,56.0,0.05,0.0,True
176_43787,2015-03-25T15:34:27.552000Z,86.61756888939601,0.02,50.0,0.12,0.9371460638945291,True
176_43788,2015-03-25T15:34:43.826000Z,-41.94454297317611,0.23,63.0,0.09,-0.2902248818558909,True
176_43789,2015-03-25T15:35:34.437000Z,15.781533314846286,0.02,10.0,0.005,0.0,True
176_43791,2015-03-25T15:36:11.238000Z,81.3557446483128,0.02,8.0,0.005,0.9371460638945291,True
176_43793,2015-03-25T15:36:59.939000Z,80.1049444375127,0.02,50.0,0.095,0.0,True
176_43794,2015-03-25T15:37:05.779000Z,39.514084909421285,0.25,12.0,0.005,0.0,True
176_43795,2015-03-25T15:37:11.498000Z,7.201770859139401,0.18,52.0,0.12,0.0,True
176_43797,2015-03-25T15:37:21.451000Z,1.3464572699352857,0.19,49.0,0.075,0.8478542831988615,True
176_43798,2015-03-25T15:37:32.168000Z,-65.20014826541365,0.1,55.0,0.14,0.11375392877292145,True
176_43799,2015-03-25T15:37:36.389000Z,-58.083076433429596,0.03,21.0,0.005,0.8114381916835873,True
176_43800,2015-03-25T15:37:40.489000Z,-64.74446216973394,0.03,20.0,0.005,0.9057190958417937,True
176_43801,2015-03-25T15:37:50.781000Z,1.5772829798584098,0.14,53.0,0.11,0.8618226844900294,True
176_43802,2015-03-25T15:37:58.570000Z,-88.8240370115119,0.09,57.0,0.145,0.0,True
176_43804,2015-03-25T15:38:48.638000Z,-11.58267908721075,0.03,22.0,0.01,-0.29271864609602005,True
176_43805,2015-03-25T15:38:52.806000Z,7.808620902983705,0.24,60.0,0.11,-0.3482099671569223,True
176_43806,2015-03-25T15:39:20.440000Z,-74.65235659551189,0.02,59.0,0.085,0.9371460638945291,True
176_43807,2015-03-25T15:42:18.237000Z,-14.091650260201902,0.01,66.0,0.1,-0.17537887487646786,True
176_43808,2015-03-25T15:42:41.405000Z,25.13377487067271,0.17,50.0,0.03,0.9584054834596148,True
176_43809,2015-03-25T15:43:55.153000Z,23.49814169884189,0.26,8.0,0.005,-0.2281204199782867,True
176_43811,2015-03-25T15:44:13.218000Z,25.75472197089198,0.26,11.0,0.005,0.9584392096874728,True
176_43812,2015-03-25T15:44:34.256000Z,28.76365480777372,0.26,13.0,0.005,0.699193258484611,True
176_43813,2015-03-25T15:44:52.768000Z,62.484281898186964,0.02,13.0,0.005,1.0,True
176_43814,2015-03-25T15:46:02.859000Z,-68.51129906964172,0.03,30.0,0.005,0.9371460638945291,True
176_43816,2015-03-25T15:48:36.221000Z,-48.76473336703509,0.13,52.0,0.045,-0.8271516757099551,True
176_43817,2015-03-25T15:49:16.433000Z,-66.97281854351218,0.02,18.0,0.005,0.9685730319472645,True
176_43821,2015-03-25T15:52:37.469000Z,-12.387942096035488,0.28,14.0,0.005,-0.32243507301166596,True
176_43822,2015-03-25T15:53:51.820000Z,-68.70891814170511,0.03,9.0,0.01,0.0,True
176_43823,2015-03-25T15:55:31.656000Z,25.85312257815326,0.03,23.0,0.005,-0.23003928270798146,True
176_43824,2015-03-25T15:55:43.822000Z,-49.4797921245202,0.03,60.0,0.13,0.9057190958417937,True
176_43825,2015-03-25T15:56:17.053000Z,19.734395925728904,0.07,62.0,0.135,0.0,True
176_43826,2015-03-25T15:59:47.321000Z,26.777520903135382,0.21,56.0,0.085,0.8616951053283051,True
176_43827,2015-03-25T16:00:31.453000Z,-86.13266488016984,0.03,17.0,0.005,1.0,True
176_43828,2015-03-25T16:00:49.868000Z,37.700091624937045,0.17,65.0,0.03,0.8069050509159188,True
176_43829,2015-03-25T16:02:54.056000Z,-82.76419022670507,0.06,51.0,0.08,0.22620065126754896,True
176_43832,2015-03-25T16:04:55.376000Z,-79.23888285072411,0.09,49.0,0.04,0.0110486911085943,True
176_43834,2015-03-25T16:06:31.718000Z,82.59700627516997,0.01,57.0,0.105,0.0,True
176_43835,2015-03-25T16:08:30.048000Z,57.4309233645057,0.25,61.0,0.12,0.0,True
176_43836,2015-03-25T16:09:40.948000Z,71.98117749506378,0.04,57.0,0.095,0.9057190958417937,True
176_43837,2015-03-25T16:10:02.829000Z,-24.41578846175429,0.18,62.0,0.1,0.9153802988237343,True
176_43838,2015-03-25T16:10:34.330000Z,14.743256324397862,0.06,51.0,0.13,-0.6071628993408069,True
176_43842,2015-03-25T16:13:20.215000Z,-78.16104448019144,0.03,29.0,0.005,0.8742921277890582,True
176_43843,2015-03-25T16:13:49.590000Z,-86.04086040903582,0.03,49.0,0.12,-0.7642977396044842,True
176_43844,2015-03-25T16:15:31.497000Z,-77.49297666159316,0.03,31.0,0.05,0.0,True
176_43845,2015-03-25T16:16:53.770000Z,50.015328974423795,0.02,10.0,0.005,1.0,True
176_43846,2015-03-25T16:17:25.541000Z,-81.07103295078406,0.02,5.0,0.005,0.13233675531757172,True
176_43847,2015-03-25T16:17:44.886000Z,24.591729466337483,0.02,20.0,0.015,0.0,True
176_43850,2015-03-25T16:18:57.699000Z,-71.36138181189455,0.13,49.0,0.025,-0.8585786437626906,True
176_43852,2015-03-25T16:19:14.889000Z,-70.22014739527947,0.14,5.0,0.005,0.9371460638945291,True
176_43853,2015-03-25T16:19:27.982000Z,-73.87596669485538,0.13,50.0,0.12,0.0110486911085943,True
176_43856,2015-03-25T16:19:59.670000Z,-0.06779774934119587,0.17,57.0,0.115,0.0,True
176_43857,2015-03-25T16:20:25.172000Z,-6.150085751471124,0.13,11.0,0.005,0.0,True
176_43858,2015-03-25T16:20:58.848000Z,26.203910921050465,0.04,5.0,0.005,0.0110486911085943,True
176_43859,2015-03-25T16:21:06.621000Z,39.72277234945261,0.02,17.0,0.01,0.07450380342405338,True
176_43861,2015-03-25T16:21:37.598000Z,5.680789891314646,0.01,11.0,0.005,0.8428651597363228,True
176_43863,2015-03-25T16:22:15.370000Z,86.80806780110407,0.03,18.0,0.005,0.9371460638945291,True
176_43864,2015-03-25T16:22:58.516000Z,37.2362114583558,0.03,53.0,0.085,0.8428651597363228,True
176_43865,2015-03-25T16:23:56.129000Z,-70.36424986236318,0.08,52.0,0.085,-0.8271516757099551,True
176_43867,2015-03-25T16:24:40.334000Z,9.046814058610607,0.17,5.0,0.005,0.0,True
176_43868,2015-03-25T16:24:51.888000Z,-73.33729607715975,0.05,48.0,0.125,-0.890005611815426,True
176_43871,2015-03-25T16:25:10.804000Z,-76.3360305812887,0.03,5.0,0.005,0.9371460638945291,True
176_43872,2015-03-25T16:25:17.623000Z,-81.88470608788373,0.07,50.0,0.035,0.0,True
176_43873,2015-03-25T16:25:40.617000Z,-49.17204337928479,0.06,59.0,0.105,-0.7077123013785354,True
176_43874,2015-03-25T16:25:48.071000Z,10.781772689701427,0.02,71.0,0.13,0.0,True
176_43876,2015-03-25T16:25:58.921000Z,14.55549963153203,0.02,61.0,0.11,0.0,True
176_43879,2015-03-25T16:26:23.501000Z,36.61172521821834,0.03,9.0,0.02,0.9685730319472645,True
176_43880,2015-03-25T16:26:48.628000Z,17.480955810653143,0.15,50.0,0.03,0.0,True
176_43881,2015-03-25T16:26:52.563000Z,72.4736154357089,0.02,56.0,0.125,-0.9214325798681613,True
176_43883,2015-03-25T16:27:04.527000Z,-77.90939838759846,0.11,50.0,0.005,-0.8585786437626906,True
176_43885,2015-03-25T16:27:39.636000Z,-86.25522189459042,0.04,8.0,0.09,0.0,True
176_43887,2015-03-25T16:27:53.600000Z,7.841243560849421,0.02,47.0,0.14,0.0,True
176_43890,2015-03-25T16:28:42.964000Z,-76.08464722341569,0.11,51.0,0.015,-0.9842865159736323,True
176_43891,2015-03-25T16:28:50.290000Z,70.97702787210272,0.03,22.0,0.035,-0.9842865159736324,True
176_43892,2015-03-25T16:29:14.014000Z,53.841902879063014,0.03,63.0,0.125,0.21432579868161383,True
176_43894,2015-03-25T16:29:48.614000Z,86.80480696959518,0.1,52.0,0.03,-0.8271516757099551,True
176_43896,2015-03-25T16:30:02.890000Z,-84.3627744135124,0.02,48.0,0.015,-0.5916761149997121,True
176_43897,2015-03-25T16:30:09.249000Z,-79.95359278670628,0.01,51.0,0.085,-0.9214325798681613,True
176_43898,2015-03-25T16:30:20.669000Z,-74.95579558412322,0.1,5.0,0.005,-0.890005611815426,True
176_43901,2015-03-25T16:31:42.525000Z,-70.82428411743733,0.03,7.0,0.005,0.9371460638945291,True
176_43903,2015-03-25T16:32:01.381000Z,33.59489668727963,0.03,6.0,0.005,1.0,True
176_43904,2015-03-25T16:32:15.696000Z,86.28751572811575,0.01,10.0,0.005,0.7171572875253809,True
176_43905,2015-03-25T16:32:20.428000Z,17.90668701354889,0.25,6.0,0.005,0.7737258300203048,True
176_43906,2015-03-25T16:32:48.801000Z,18.321793562478263,0.17,57.0,0.14,0.0,True
176_43907,2015-03-25T16:32:57.567000Z,-84.45349843583506,0.04,55.0,0.11,0.9685730319472645,True
176_43908,2015-03-25T16:33:21.048000Z,57.9668960451977,0.03,53.0,0.115,0.8742921277890582,True
176_43910,2015-03-25T16:33:50.715000Z,7.428512448033189,0.26,61.0,0.12,0.7003886414415792,True
176_43912,2015-03-25T16:34:05.522000Z,-68.25564454243192,0.03,51.0,0.105,0.0,True
176_43913,2015-03-25T16:34:13.670000Z,-6.470522131995324,0.18,70.0,0.12,0.6976430039069383,True
176_43917,2015-03-25T16:34:31.657000Z,25.572972370477515,0.01,50.0,0.095,-0.890005611815426,True
176_43918,2015-03-25T16:34:55.435000Z,88.47333705136185,0.06,50.0,0.1,-0.010050506338833531,True
176_43919,2015-03-25T16:35:15.965000Z,55.798124744498296,0.08,57.0,0.135,0.1825377080467674,True
176_43920,2015-03-25T16:35:19.927000Z,88.72888454953659,0.09,51.0,0.025,-0.7957247076572196,True
176_43922,2015-03-25T16:36:47.588000Z,7.008992608163908,0.19,55.0,0.05,-0.4088381640631278,True
176_43923,2015-03-25T16:37:07.212000Z,-87.93308044315165,0.05,3.0,0.005,0.09446148618625827,True
176_43924,2015-03-25T16:37:11.431000Z,-24.88290687554604,0.06,9.0,0.005,-0.6297314954899638,True
176_43925,2015-03-25T16:37:36.877000Z,-33.63089993753317,0.27,54.0,0.13,0.0,True
176_43926,2015-03-25T16:37:45.292000Z,70.71285836027079,0.02,10.0,0.005,0.9371460638945291,True
176_43927,2015-03-25T16:37:50.834000Z,-87.50261288521858,0.06,50.0,0.105,-0.9842865159736323,True
176_43928,2015-03-25T16:38:15.317000Z,-80.39524112538447,0.03,49.0,0.13,0.9057190958417937,True
176_43929,2015-03-25T16:38:42.669000Z,52.036130021794634,0.03,11.0,0.005,0.9685730319472645,True
176_43930,2015-03-25T16:38:54.234000Z,16.339533100451376,0.03,7.0,0.01,0.0,True
176_43931,2015-03-25T16:40:01.477000Z,5.536449516449466,0.07,68.0,0.135,0.3652539922685092,True
176_43932,2015-03-25T16:40:12.495000Z,49.770388915551564,0.03,10.0,0.005,1.0,True
176_43934,2015-03-25T16:40:37.675000Z,-40.11841834385939,0.25,11.0,0.005,0.8825791572122408,True
176_43935,2015-03-25T16:40:44.473000Z,-18.62274346906389,0.28,64.0,0.145,-0.6377086268586318,True
176_43936,2015-03-25T16:40:57.012000Z,31.27896112834776,0.29,22.0,0.005,-0.3516077566129595,True
176_43937,2015-03-25T16:41:38.310000Z,59.838381450994575,0.03,17.0,0.005,0.29920679861237875,True
176_43938,2015-03-25T16:41:59.414000Z,65.35477884469077,0.03,9.0,0.005,0.9371460638945291,True
176_43940,2015-03-25T16:42:28.625000Z,62.26072813080816,0.03,13.0,0.005,0.4729537233052702,True
176_43943,2015-03-25T16:43:24.517000Z,-73.88111177137318,0.03,25.0,0.015,0.5815962136941615,True
176_43944,2015-03-25T16:44:04.551000Z,-31.239967079014264,0.03,57.0,0.125,0.6228763833671747,True
176_43945,2015-03-25T16:44:24.445000Z,-68.64785120709655,0.03,22.0,0.045,0.9685730319472645,True
176_43946,2015-03-25T16:44:54.359000Z,-49.43169770687439,0.03,58.0,0.02,0.02817468419244995,True
176_43947,2015-03-25T16:45:18.443000Z,-46.821181849867685,0.03,39.0,0.01,0.41605851806795946,True
176_43948,2015-03-25T16:45:28.300000Z,-59.4106908425083,0.03,36.0,0.01,0.6318212994270912,True
