event_id,datetime,phi,dt,phi_error,dt_error,quality,success
78_19250,2015-03-04T01:53:16.201000Z,-81.5679461919811,0.05,50.0,0.11,-0.9214325798681613,True
78_19251,2015-03-04T01:53:22.046000Z,-82.47094345712225,0.09,4.0,0.005,-0.8900056118154259,True
78_19252,2015-03-04T01:53:26.068000Z,-86.51663379933296,0.04,8.0,0.01,-0.9214325798681613,True
78_19253,2015-03-04T01:53:35.220000Z,-80.7681930280848,0.05,47.0,0.115,-0.9214325798681613,True
78_19254,2015-03-04T01:53:41.892000Z,-82.36035135127895,0.09,51.0,0.04,0.0,True
78_19255,2015-03-04T01:54:06.830000Z,73.83216680515216,0.17,54.0,0.06,-0.039901093707670476,True
78_19256,2015-03-04T01:56:22.325000Z,-83.74229724220982,0.06,49.0,0.115,0.09446148618625827,True
78_19257,2015-03-04T01:56:55.515000Z,-72.21563344687672,0.03,91.0,0.01,-0.5078392313255533,True
78_19258,2015-03-04T01:57:06.223000Z,41.01126745827207,0.25,51.0,0.12,0.7018576030000281,True
78_19259,2015-03-04T01:58:29.812000Z,83.44003774040425,0.01,22.0,0.01,0.8428651597363228,True
78_19260,2015-03-04T01:59:24.102000Z,89.61168537582608,0.03,23.0,0.005,0.9685730319472645,True
78_19262,2015-03-04T01:59:43.909000Z,-70.7380929888891,0.05,48.0,0.105,0.0,True
78_19263,2015-03-04T01:59:55.449000Z,-84.4327793829234,0.02,5.0,0.005,0.9685730319472645,True
78_19264,2015-03-04T02:00:36.099000Z,-78.49979102447469,0.06,9.0,0.005,0.0,True
78_19265,2015-03-04T02:00:59.727000Z,-68.59713676179683,0.02,13.0,0.005,0.0,True
78_19266,2015-03-04T02:01:38.268000Z,-80.94776464465383,0.02,9.0,0.005,1.0,True
78_19268,2015-03-04T02:03:21.103000Z,70.24813062843822,0.04,17.0,0.01,0.0,True
78_19269,2015-03-04T02:05:07.460000Z,-62.37478078362108,0.06,54.0,0.1,0.6228763833671747,True
78_19271,2015-03-04T02:05:51.962000Z,-87.76998416443888,0.03,16.0,0.005,0.9057190958417937,True
78_19273,2015-03-04T02:06:07.433000Z,41.0413838014216,0.16,53.0,0.03,0.8707661465060765,True
78_19277,2015-03-04T02:07:40.343000Z,2.1834132829330883,0.15,49.0,0.12,0.0,True
78_19280,2015-03-04T02:08:48.791000Z,54.3305608713668,0.07,49.0,0.06,0.0,True
78_19281,2015-03-04T02:09:05.185000Z,-59.94691336623248,0.02,11.0,0.005,0.9371460638945291,True
78_19283,2015-03-04T02:10:42.449000Z,-60.46811344709124,0.07,53.0,0.075,-0.4726478622894412,True
78_19284,2015-03-04T02:10:53.827000Z,-69.90528102777859,0.23,54.0,0.13,0.0,True
78_19288,2015-03-04T02:16:20.968000Z,-78.890743197456,0.07,12.0,0.025,-0.6385898673935424,True
78_19289,2015-03-04T02:16:59.438000Z,-60.00001907471801,0.03,10.0,0.01,0.7642977396044842,True
78_19290,2015-03-04T02:18:32.892000Z,-48.15566424879796,0.02,14.0,0.005,1.0,True
78_19292,2015-03-04T11:48:12.979000Z,-62.84640890050849,0.02,8.0,0.005,0.9685730319472645,True
78_19293,2015-03-04T11:48:30.020000Z,15.54193345876547,0.17,53.0,0.05,0.29524357528218204,True
78_19297,2015-03-04T11:48:48.890000Z,25.180823268838765,0.25,48.0,0.12,0.8020101012677667,True
78_19298,2015-03-04T11:49:19.294000Z,-61.134009410301815,0.03,17.0,0.01,0.6775862638100687,True
78_19300,2015-03-04T11:50:44.990000Z,-63.01320304925241,0.02,10.0,0.01,0.8114381916835873,True
78_19302,2015-03-04T11:51:05.366000Z,-46.04884277238176,0.03,16.0,0.005,0.9371460638945291,True
78_19303,2015-03-04T11:51:19.922000Z,-67.38064248281955,0.02,10.0,0.005,0.9371460638945291,True
78_19304,2015-03-04T11:51:39.398000Z,20.414349630556956,0.06,56.0,0.125,0.0,True
78_19305,2015-03-04T11:51:54.514000Z,-71.79736364933478,0.02,9.0,0.01,0.9685730319472645,True
78_19306,2015-03-04T11:52:30.328000Z,-74.33444140606315,0.03,20.0,0.005,0.6071628993408069,True
78_19307,2015-03-04T11:52:36.287000Z,5.320771276365349,0.19,48.0,0.07,0.8139192681088033,True
78_19308,2015-03-04T11:53:12.484000Z,-56.146347003491655,0.08,51.0,0.095,0.11375392877292145,True
78_19309,2015-03-04T11:54:29.727000Z,24.69491091435748,0.25,7.0,0.005,-0.16526636169758924,True
78_19310,2015-03-04T11:54:42.586000Z,2.7736165994031126,0.18,55.0,0.04,-0.3062892764983127,True
78_19311,2015-03-04T11:55:31.502000Z,-52.827389522087174,0.03,28.0,0.005,0.8428651597363228,True
78_19312,2015-03-04T11:56:17.955000Z,-47.564810361976924,0.03,17.0,0.005,1.0,True
78_19313,2015-03-04T11:56:25.341000Z,38.30041418540861,0.17,55.0,0.03,-0.10047643863702183,True
78_19314,2015-03-04T11:56:31.723000Z,-69.93361744246783,0.02,9.0,0.005,1.0,True
78_19315,2015-03-04T11:56:56.200000Z,-48.78832932914702,0.03,28.0,0.01,0.4729537233052702,True
78_19316,2015-03-04T11:57:13.376000Z,-70.57507916274312,0.02,9.0,0.005,0.9685730319472645,True
78_19317,2015-03-04T11:57:17.953000Z,-75.26841981460268,0.02,12.0,0.005,0.9685730319472645,True
78_19318,2015-03-04T11:57:31.148000Z,-48.04792114015606,0.03,36.0,0.01,0.5008649456618621,True
78_19319,2015-03-04T11:57:44.579000Z,-69.69982032855626,0.02,8.0,0.005,1.0,True
78_19320,2015-03-04T11:57:56.900000Z,-71.76621935062781,0.02,8.0,0.005,0.9685730319472645,True
78_19321,2015-03-04T11:58:11.387000Z,-70.02996300112835,0.02,8.0,0.005,0.9685730319472645,True
78_19322,2015-03-04T11:58:33.742000Z,-56.19772094410348,0.03,11.0,0.005,0.9371460638945291,True
78_19323,2015-03-04T11:58:48.581000Z,-41.041324035350385,0.03,23.0,0.005,-0.04341141110973845,True
78_19324,2015-03-04T11:59:44.708000Z,29.71314926549013,0.05,17.0,0.01,0.0,True
78_19325,2015-03-04T12:02:02.581000Z,-49.42626152600042,0.03,25.0,0.005,0.0,True
78_19326,2015-03-04T12:03:02.201000Z,-74.22824146947784,0.06,51.0,0.135,0.0,True
78_19329,2015-03-04T12:05:39.234000Z,-68.142386086741,0.02,10.0,0.005,0.9685730319472645,True
78_19330,2015-03-04T12:06:16.917000Z,-84.66845864263416,0.02,52.0,0.11,0.0110486911085943,True
78_19331,2015-03-04T12:09:20.862000Z,-76.96228675990756,0.24,55.0,0.11,0.3196967587906111,True
78_19332,2015-03-04T12:09:44.386000Z,-62.68323871175164,0.03,21.0,0.01,1.0,True
78_19333,2015-03-04T12:10:19.181000Z,-70.63684824231626,0.03,13.0,0.01,0.9685730319472645,True
78_19334,2015-03-04T12:12:32.002000Z,28.397002383023164,0.25,7.0,0.005,0.0,True
78_19335,2015-03-04T12:12:58.088000Z,-76.11687328592484,0.03,17.0,0.005,0.8428651597363228,True
78_19336,2015-03-04T12:13:06.634000Z,20.262453768078217,0.25,50.0,0.12,0.0,True
78_19337,2015-03-04T12:16:15.163000Z,-60.632862983448376,0.03,12.0,0.025,0.9685730319472645,True
78_19338,2015-03-04T12:20:22.026000Z,-65.94462869081775,0.03,12.0,0.005,0.9371460638945291,True
78_19339,2015-03-04T12:20:43.454000Z,-67.42490082737856,0.02,12.0,0.005,1.0,True
78_19341,2015-03-04T12:26:56.223000Z,-47.5785127422111,0.21,52.0,0.085,0.7622118382329701,True
78_19345,2015-03-04T12:31:34.270000Z,-72.51722990850527,0.02,48.0,0.12,-0.8900056118154259,True
78_19346,2015-03-04T12:33:21.433000Z,35.22994071850712,0.26,15.0,0.005,0.0,True
78_19348,2015-03-04T12:34:44.565000Z,35.08192070850845,0.02,61.0,0.125,0.8742921277890582,True
78_19349,2015-03-04T12:36:09.016000Z,30.352068296451307,0.2,51.0,0.07,-0.9214325798681613,True
78_19350,2015-03-04T12:36:20.086000Z,12.46777940477125,0.02,13.0,0.01,-0.890005611815426,True
78_19351,2015-03-04T12:36:26.181000Z,-68.58762029328204,0.05,48.0,0.025,0.0,True
78_19352,2015-03-04T12:37:05.008000Z,-54.02826337179113,0.03,17.0,0.005,0.0,True
78_19353,2015-03-04T12:37:10.597000Z,-80.60636536129147,0.04,7.0,0.005,0.9057190958417937,True
78_19354,2015-03-04T12:37:42.718000Z,32.73844185334542,0.25,10.0,0.005,0.7922727334124126,True
78_19355,2015-03-04T12:38:56.489000Z,-56.96822096509197,0.03,12.0,0.005,0.0,True
78_19356,2015-03-04T12:40:11.990000Z,37.290427434119124,0.02,59.0,0.12,0.9371460638945291,True
78_19358,2015-03-04T12:41:42.420000Z,3.0990710399253203,0.21,48.0,0.085,0.0,True
78_19359,2015-03-04T12:41:52.449000Z,71.53168649290939,0.04,11.0,0.005,0.9685730319472645,True
78_19360,2015-03-04T12:42:18.200000Z,-78.29542044921334,0.02,15.0,0.01,0.9371460638945291,True
78_19361,2015-03-04T12:43:39.638000Z,-88.82523573187393,0.05,49.0,0.075,-0.9528595479208969,True
78_19362,2015-03-04T12:43:48.148000Z,-80.88565894800604,0.03,49.0,0.125,-0.9214325798681613,True
78_19363,2015-03-04T12:44:01.451000Z,32.0030148276353,0.17,60.0,0.055,0.0,True
78_19364,2015-03-04T12:44:43.699000Z,19.31119334076385,0.18,49.0,0.105,0.30860670283982017,True
78_19365,2015-03-04T12:46:35.552000Z,9.905020986406242,0.02,49.0,0.13,-0.9842865159736323,True
78_19366,2015-03-04T23:15:02.087000Z,18.377735617844564,0.2,56.0,0.105,0.07450380342405338,True
78_19367,2015-03-04T23:17:35.836000Z,-21.467361164940485,0.05,25.0,0.005,-0.6119055734094894,True
78_19368,2015-03-04T23:19:03.980000Z,-59.24202931902255,0.05,8.0,0.005,0.0,True
78_19369,2015-03-04T23:19:43.366000Z,65.06349350329037,0.04,16.0,0.005,0.9685730319472645,True
78_19370,2015-03-04T23:21:02.260000Z,-0.8081110529719808,0.04,70.0,0.055,0.0,True
78_19371,2015-03-04T23:22:30.316000Z,11.397746390758243,0.18,58.0,0.08,-0.9842865159736324,True
78_19372,2015-03-04T23:23:09.007000Z,-82.29883964312137,0.04,59.0,0.1,0.0,True
78_19373,2015-03-04T23:30:52.682000Z,8.274325020534889,0.18,54.0,0.055,0.0,True
78_19374,2015-03-04T23:33:01.645000Z,85.80372556407826,0.03,59.0,0.145,0.0,True
78_19375,2015-03-04T23:33:56.960000Z,72.51144263025185,0.03,52.0,0.11,-0.7957247076572196,True
78_19376,2015-03-04T23:34:57.750000Z,-88.7087011808851,0.04,51.0,0.09,0.9685730319472645,True
78_19377,2015-03-04T23:35:36.040000Z,15.023980037788476,0.19,56.0,0.09,0.8742921277890582,True
78_19378,2015-03-04T23:36:03.272000Z,-67.30558710428727,0.02,49.0,0.095,0.5269614898353778,True
78_19379,2015-03-04T23:36:47.500000Z,74.58045235104942,0.02,60.0,0.14,0.0,True
78_19380,2015-03-04T23:37:54.680000Z,4.406745271256739,0.13,53.0,0.09,0.0,True
78_19381,2015-03-04T23:39:22.758000Z,-77.92201618108436,0.03,11.0,0.005,0.9371460638945291,True
78_19383,2015-03-04T23:43:21.798000Z,24.304990081201083,0.06,53.0,0.07,0.0,True
78_19384,2015-03-04T23:45:30.830000Z,-1.9836409571972808,0.19,51.0,0.075,0.0,True
78_19386,2015-03-04T23:46:02.080000Z,59.118152463289334,0.05,62.0,0.09,0.0,True
78_19388,2015-03-04T23:48:44.726000Z,-56.94094741478057,0.03,16.0,0.005,0.9685730319472645,True
78_19390,2015-03-04T23:53:29.760000Z,-86.29569603079403,0.05,52.0,0.1,-0.9842865159736324,True
78_19391,2015-03-04T23:56:41.440000Z,-66.18909776211348,0.02,9.0,0.005,0.9685730319472645,True
78_19392,2015-03-04T23:58:26.096000Z,17.428250352257237,0.02,91.0,0.15,0.053922979670755544,True
78_19393,2015-03-05T00:01:52.346000Z,-77.17128044161751,0.02,6.0,0.005,0.0,True
78_19394,2015-03-05T00:04:30.503000Z,40.79284903004219,0.04,10.0,0.005,0.0,True
78_19395,2015-03-05T00:12:04.466000Z,-81.7268303372025,0.03,61.0,0.135,0.0,True
78_19396,2015-03-05T00:16:02.976000Z,24.505871656962142,0.16,55.0,0.095,0.0,True
78_19397,2015-03-05T00:18:57.050000Z,-71.29213475232598,0.07,19.0,0.01,0.9371460638945291,True
78_19398,2015-03-05T00:21:26.244000Z,-64.51983874652046,0.15,52.0,0.015,-0.9842865159736323,True
78_19399,2015-03-05T00:23:06.112000Z,33.62122476471109,0.01,53.0,0.095,0.0,True
78_19400,2015-03-05T00:23:31.535000Z,-61.6127372242276,0.03,20.0,0.01,0.0,True
78_19401,2015-03-05T00:24:49.477000Z,-78.3447229970194,0.05,7.0,0.005,-0.5527864045000421,True
78_19402,2015-03-05T00:25:24.026000Z,85.7574014841536,0.11,61.0,0.095,0.42145808812009755,True
78_19406,2015-03-05T00:28:04.438000Z,-85.90528709915509,0.05,49.0,0.115,-0.9528595479208969,True
78_19407,2015-03-05T00:30:29.917000Z,16.110600382538337,0.03,55.0,0.12,0.0,True
78_19409,2015-03-05T00:36:36.847000Z,-79.92905907806227,0.01,58.0,0.145,0.0,True
78_19410,2015-03-05T00:37:04.813000Z,6.478782247819936,0.22,57.0,0.125,0.0,True
78_19411,2015-03-05T00:38:24.736000Z,3.446779191252517,0.17,49.0,0.05,0.8306798440213286,True
78_19412,2015-03-05T00:38:33.409000Z,-1.4424884009960692,0.07,56.0,0.08,0.0,True
78_19413,2015-03-05T00:38:41.009000Z,-66.47425373205306,0.02,17.0,0.01,0.0,True
78_19414,2015-03-05T00:39:21.067000Z,56.18500653080724,0.05,64.0,0.085,0.683772233983162,True
78_19415,2015-03-05T00:39:36.906000Z,-36.7493242986194,0.19,62.0,0.12,-0.8149069686561827,True
78_19419,2015-03-05T00:42:05.391000Z,-60.60349635605803,0.02,10.0,0.005,-0.9528595479208969,True
78_19420,2015-03-05T00:42:26.701000Z,79.86388257203544,0.02,62.0,0.045,0.0,True
78_19422,2015-03-05T00:44:08.645000Z,43.2124167946921,0.04,54.0,0.095,0.0,True
78_19423,2015-03-05T00:44:13.161000Z,34.384958696112335,0.25,12.0,0.005,-0.8074472975783602,True
78_19424,2015-03-05T00:45:24.880000Z,-59.41728228842794,0.02,11.0,0.005,0.9371460638945291,True
78_19425,2015-03-05T00:45:39.696000Z,-63.2649272464314,0.02,11.0,0.005,0.9371460638945291,True
