event_id,datetime,phi,dt,phi_error,dt_error,quality,success
204_50750,2015-03-31T01:14:57.437000Z,-68.60016081333572,0.05,56.0,0.145,-0.9842865159736324,True
204_50751,2015-03-31T01:15:10.672000Z,-41.85080844850222,0.23,66.0,0.095,-0.3840971879492354,True
204_50752,2015-03-31T01:15:18.352000Z,55.25981919740519,0.21,55.0,0.03,0.0,True
204_50753,2015-03-31T01:15:31.540000Z,-17.505437863685188,0.27,53.0,0.135,-0.543557022133218,True
204_50754,2015-03-31T01:15:59.465000Z,25.578182464343854,0.17,49.0,0.04,0.0,True
204_50755,2015-03-31T01:16:19.790000Z,-66.33810673183763,0.03,6.0,0.005,0.9685730319472645,True
204_50758,2015-03-31T01:16:42.720000Z,-87.0713944015784,0.02,6.0,0.005,0.9685730319472645,True
204_50762,2015-03-31T01:17:07.816000Z,-55.783542809600476,0.04,16.0,0.01,1.0,True
204_50763,2015-03-31T01:17:13.971000Z,-68.23481893398798,0.03,80.0,0.125,0.9057190958417937,True
204_50767,2015-03-31T01:17:53.400000Z,72.52631743757394,0.08,56.0,0.05,-0.8900056118154259,True
204_50768,2015-03-31T01:17:59.360000Z,51.145453323285324,0.19,57.0,0.125,0.4920528295539388,True
204_50769,2015-03-31T01:18:22.688000Z,-84.9662449479942,0.03,17.0,0.005,0.9057190958417937,True
204_50770,2015-03-31T01:18:26.795000Z,-10.870541450327721,0.02,91.0,0.15,0.0,True
204_50771,2015-03-31T01:18:30.720000Z,-83.48206257618273,0.02,33.0,0.01,0.5269614898353778,True
204_50774,2015-03-31T01:19:02.694000Z,60.30144725471939,0.02,67.0,0.135,0.0,True
204_50775,2015-03-31T01:19:08.525000Z,-28.654360614411985,0.28,53.0,0.13,0.8204515265423076,True
204_50777,2015-03-31T01:19:35.333000Z,-66.70538812851555,0.03,5.0,0.005,-0.890005611815426,True
204_50778,2015-03-31T01:19:59.842000Z,-73.37577126519875,0.18,53.0,0.11,-0.890005611815426,True
204_50779,2015-03-31T01:20:09.324000Z,74.60317748354794,0.06,53.0,0.11,-0.7642977396044841,True
204_50780,2015-03-31T01:20:15.351000Z,-56.27968983212861,0.03,63.0,0.125,-0.6666666666666666,True
204_50781,2015-03-31T01:20:24.939000Z,6.821258344525745,0.02,67.0,0.145,0.0,True
204_50783,2015-03-31T01:20:44.640000Z,72.44765593973978,0.01,27.0,0.005,0.9057190958417937,True
204_50785,2015-03-31T01:20:59.606000Z,16.769856700062405,0.19,57.0,0.11,-0.35146172464530057,True
204_50787,2015-03-31T01:21:11.253000Z,-46.0293279327301,0.03,19.0,0.005,0.0,True
204_50789,2015-03-31T01:21:20.749000Z,54.797750438638786,0.02,22.0,0.01,0.5661683776587858,True
204_50790,2015-03-31T01:21:28.881000Z,34.12005408694165,0.02,13.0,0.005,0.9057190958417937,True
204_50794,2015-03-31T01:22:26.358000Z,-75.0549971188866,0.03,55.0,0.11,0.0,True
204_50795,2015-03-31T01:22:42.265000Z,-85.37180269674468,0.06,6.0,0.005,0.0,True
204_50796,2015-03-31T01:22:48.008000Z,49.40514649991087,0.05,12.0,0.005,0.8742921277890582,True
204_50797,2015-03-31T01:23:03.383000Z,-69.68916773029753,0.03,24.0,0.01,0.9685730319472645,True
204_50799,2015-03-31T01:23:15.670000Z,52.382462445002886,0.25,54.0,0.115,0.115544388680211,True
204_50801,2015-03-31T01:23:27.741000Z,13.317973484742765,0.02,3.0,0.005,0.0,True
204_50802,2015-03-31T01:23:35.976000Z,65.37262767399545,0.02,57.0,0.105,0.43557086634938813,True
204_50803,2015-03-31T01:24:05.006000Z,75.4307771545432,0.08,57.0,0.115,0.0327587914302061,True
204_50804,2015-03-31T01:24:11.422000Z,-85.96046683296782,0.05,3.0,0.005,-0.8271516757099551,True
204_50805,2015-03-31T01:24:17.268000Z,-74.81485184132589,0.01,13.0,0.005,0.9371460638945291,True
204_50806,2015-03-31T01:24:33.189000Z,-44.220363241382415,0.03,53.0,0.04,0.6543033514199101,True
204_50807,2015-03-31T01:24:48.301000Z,-40.11903766174595,0.03,23.0,0.005,0.8428651597363228,True
204_50808,2015-03-31T01:24:55.455000Z,-63.05923819225791,0.02,9.0,0.005,0.9685730319472645,True
204_50809,2015-03-31T01:25:01.217000Z,-88.15932576365265,0.05,66.0,0.145,0.7800112236308518,True
204_50810,2015-03-31T01:25:06.220000Z,65.16794660683024,0.02,18.0,0.005,0.9371460638945291,True
204_50811,2015-03-31T01:25:54.926000Z,25.742019656143157,0.02,57.0,0.1,0.0,True
204_50813,2015-03-31T01:26:20.310000Z,-80.37577625678671,0.03,19.0,0.005,0.9685730319472645,True
204_50814,2015-03-31T01:26:32.474000Z,83.54000000416767,0.01,51.0,0.09,0.0,True
204_50815,2015-03-31T01:26:58.290000Z,-69.86898742125788,0.03,13.0,0.005,0.9057190958417937,True
204_50817,2015-03-31T01:27:40.581000Z,-59.84531847263702,0.03,21.0,0.005,0.9371460638945291,True
204_50818,2015-03-31T01:27:48.679000Z,-87.05861579226956,0.03,67.0,0.135,0.8742921277890582,True
204_50819,2015-03-31T01:28:01.392000Z,-54.293660825649226,0.03,15.0,0.005,0.6857303194726456,True
204_50823,2015-03-31T01:28:47.379000Z,-79.68658320741599,0.03,15.0,0.005,0.9685730319472645,True
204_50824,2015-03-31T01:28:54.328000Z,-9.747742047079896,0.02,61.0,0.125,-0.8271516757099551,True
204_50825,2015-03-31T01:29:05.734000Z,-47.82072556144294,0.03,56.0,0.135,0.0,True
204_50826,2015-03-31T01:29:14.089000Z,68.27874566650371,0.05,55.0,0.095,0.0,True
204_50828,2015-03-31T01:29:54.181000Z,-2.486216889796708,0.19,51.0,0.06,-0.9528595479208969,True
204_50829,2015-03-31T01:29:59.343000Z,76.51722614337774,0.21,56.0,0.125,0.0,True
204_50830,2015-03-31T01:30:13.909000Z,-45.56009131870621,0.03,24.0,0.005,0.9057190958417937,True
204_50831,2015-03-31T01:30:29.602000Z,-43.35571678450003,0.03,15.0,0.005,0.08902440032134962,True
204_50832,2015-03-31T01:31:08.230000Z,71.21188142211543,0.21,58.0,0.125,0.1498669942367652,True
204_50833,2015-03-31T01:31:47.505000Z,-56.859841561435815,0.03,14.0,0.005,0.5008649456618621,True
204_50835,2015-03-31T01:32:20.185000Z,-60.58087562630891,0.03,38.0,0.005,0.9371460638945291,True
204_50837,2015-03-31T01:32:43.810000Z,-89.55995239698615,0.04,23.0,0.005,0.8114381916835873,True
204_50838,2015-03-31T01:32:55.112000Z,-70.0028120875661,0.03,19.0,0.005,0.9057190958417937,True
204_50840,2015-03-31T01:33:20.994000Z,-83.64905315923306,0.05,48.0,0.1,0.0,True
204_50841,2015-03-31T01:33:35.942000Z,-69.6344603245426,0.03,9.0,0.005,0.9685730319472645,True
204_50842,2015-03-31T01:33:45.252000Z,-65.63945159605333,0.03,28.0,0.01,0.9057190958417937,True
204_50843,2015-03-31T01:34:20.022000Z,25.494996663115103,0.05,42.0,0.005,-0.16718534660251083,True
204_50844,2015-03-31T01:34:30.328000Z,-85.66925795675377,0.05,3.0,0.005,-0.9842865159736323,True
204_50845,2015-03-31T01:34:44.177000Z,48.81458852140503,0.07,62.0,0.125,-0.3557471549189234,True
204_50846,2015-03-31T01:34:56.276000Z,-50.977521552961605,0.03,18.0,0.005,-0.6880962478307067,True
204_50848,2015-03-31T01:35:06.220000Z,-20.17505968988212,0.14,53.0,0.035,-0.9842865159736324,True
204_50849,2015-03-31T01:35:19.466000Z,-66.19984479720961,0.03,15.0,0.005,1.0,True
204_50850,2015-03-31T01:35:30.037000Z,70.11212394836934,0.03,25.0,0.015,0.31075278136574125,True
204_50851,2015-03-31T01:35:40.708000Z,-36.39905780574884,0.29,18.0,0.005,0.7611572800070199,True
204_50852,2015-03-31T01:36:08.002000Z,10.896126971776084,0.04,32.0,0.01,0.8742921277890582,True
204_50853,2015-03-31T01:37:00.248000Z,-75.14652224485701,0.02,52.0,0.105,0.9685730319472645,True
204_50854,2015-03-31T01:37:16.734000Z,-63.1222621538858,0.03,30.0,0.01,0.8742921277890582,True
204_50856,2015-03-31T01:37:50.410000Z,-67.41372208733247,0.03,25.0,0.005,0.9057190958417937,True
204_50857,2015-03-31T01:38:02.459000Z,58.91866075588064,0.02,23.0,0.01,0.5055243455542971,True
204_50858,2015-03-31T01:38:24.327000Z,-55.657627912879434,0.02,35.0,0.01,0.9685730319472645,True
204_50859,2015-03-31T01:38:50.395000Z,56.80875102035827,0.26,65.0,0.13,0.34652991095263774,True
204_50860,2015-03-31T01:38:58.864000Z,-24.97530452665842,0.27,57.0,0.13,-0.825178907833986,True
204_50861,2015-03-31T01:39:18.893000Z,-89.81397041593141,0.05,48.0,0.1,0.0110486911085943,True
204_50862,2015-03-31T01:39:41.066000Z,-61.44299695178216,0.03,31.0,0.005,1.0,True
204_50863,2015-03-31T01:40:03.076000Z,-24.72606433906435,0.02,58.0,0.11,0.9371460638945291,True
204_50864,2015-03-31T01:40:26.809000Z,-29.214121630277305,0.27,62.0,0.135,-0.9083754305418298,True
204_50866,2015-03-31T01:40:42.581000Z,-81.49877275835433,0.09,59.0,0.035,-0.9528595479208969,True
204_50869,2015-03-31T01:42:23.098000Z,81.38100300355887,0.13,57.0,0.04,0.09446148618625827,True
204_50870,2015-03-31T01:42:28.348000Z,63.79369985231142,0.08,12.0,0.01,0.9371460638945291,True
204_50871,2015-03-31T01:42:32.477000Z,-4.294157105378417,0.21,52.0,0.075,0.609581885852007,True
