event_id,datetime,phi,dt,phi_error,dt_error,quality,success
81_20000,2015-03-05T03:14:06.201000Z,21.9768236583746,0.25,8.0,0.005,0.9371460638945291,True
81_20001,2015-03-05T03:14:24.212000Z,30.22082577840189,0.17,57.0,0.03,-0.23003928270798146,True
81_20002,2015-03-05T03:14:35.461000Z,-59.73580883728118,0.02,16.0,0.01,0.8742921277890582,True
81_20003,2015-03-05T03:14:48.497000Z,31.740700442553646,0.17,55.0,0.03,0.6442906906835044,True
81_20004,2015-03-05T03:15:02.510000Z,-59.97707841814986,0.02,15.0,0.01,0.0,True
81_20005,2015-03-05T03:15:11.011000Z,-64.34203689403444,0.02,16.0,0.005,0.8742921277890582,True
81_20006,2015-03-05T03:15:34.201000Z,32.41347167264428,0.25,10.0,0.005,-0.10254681335335258,True
81_20007,2015-03-05T03:16:18.390000Z,-83.7823383837233,0.03,8.0,0.005,0.9685730319472645,True
81_20008,2015-03-05T03:16:36.746000Z,-75.84690064084066,0.03,10.0,0.005,1.0,True
81_20010,2015-03-05T03:17:03.903000Z,-83.39715690749654,0.02,13.0,0.005,-0.7642977396044841,True
81_20011,2015-03-05T03:17:09.367000Z,62.11649573655859,0.03,67.0,0.12,0.0,True
81_20013,2015-03-05T03:17:25.617000Z,-70.75906007063293,0.03,16.0,0.005,0.6071628993408069,True
81_20014,2015-03-05T03:17:34.488000Z,-40.15919490659985,0.03,27.0,0.005,0.0,True
81_20015,2015-03-05T03:17:47.309000Z,-77.4913945562705,0.02,8.0,0.005,0.9685730319472645,True
81_20017,2015-03-05T03:18:04.850000Z,-67.91105708766736,0.03,10.0,0.005,0.8742921277890582,True
81_20018,2015-03-05T03:18:11.818000Z,-61.135544723978455,0.03,15.0,0.01,-0.6666666666666667,True
81_20019,2015-03-05T03:18:18.538000Z,-46.370034386499924,0.03,26.0,0.005,0.4729537233052702,True
81_20020,2015-03-05T03:18:24.046000Z,-42.097950385717695,0.03,29.0,0.005,0.0,True
