event_id,datetime,phi,dt,phi_error,dt_error,quality,success
73_18001,2015-03-01T21:52:33.464000Z,13.218801792231488,0.02,52.0,0.115,0.0,True
73_18002,2015-03-01T21:52:47.840000Z,13.691800440147006,0.02,49.0,0.145,0.0,True
73_18003,2015-03-01T21:52:55.028000Z,-60.89918392605006,0.1,8.0,0.045,-0.9842865159736324,True
73_18004,2015-03-01T21:53:07.692000Z,22.550213063488286,0.13,50.0,0.03,0.0,True
73_18006,2015-03-01T21:53:28.504000Z,-82.54039634092015,0.05,53.0,0.11,0.09446148618625827,True
73_18007,2015-03-01T21:53:54.570000Z,-72.26059666887198,0.25,56.0,0.14,-0.7328707715517487,True
73_18008,2015-03-01T21:54:00.296000Z,-83.94265929184672,0.05,51.0,0.08,-0.890005611815426,True
73_18009,2015-03-01T21:54:04.482000Z,-72.17736968757436,0.2,54.0,0.12,-0.7957247076572196,True
73_18010,2015-03-01T21:54:10.731000Z,2.827154215384894,0.01,5.0,0.005,0.0,True
73_18011,2015-03-01T21:54:21.640000Z,-67.81259820159482,0.08,53.0,0.035,-0.8900056118154259,True
73_18012,2015-03-01T21:54:36.866000Z,21.215125106621997,0.03,61.0,0.14,0.0,True
73_18013,2015-03-01T21:54:43.374000Z,65.47370531086176,0.14,52.0,0.015,0.0,True
73_18015,2015-03-01T21:55:05.126000Z,54.15787801405719,0.14,55.0,0.08,0.3075279711728517,True
73_18016,2015-03-01T21:55:24.554000Z,-84.12445073994172,0.05,4.0,0.005,-0.7642977396044842,True
73_18018,2015-03-01T21:55:51.560000Z,-79.24005052834929,0.02,5.0,0.005,-0.8900056118154259,True
73_18021,2015-03-01T21:56:09.320000Z,-77.28537699075912,0.1,50.0,0.075,0.0,True
73_18023,2015-03-01T21:56:20.282000Z,34.33546547376727,0.02,19.0,0.005,0.9057190958417937,True
73_18025,2015-03-01T21:56:34.798000Z,-77.99997536891851,0.08,47.0,0.11,0.0327587914302061,True
73_18026,2015-03-01T21:56:43.296000Z,72.00059529122962,0.04,19.0,0.005,0.0,True
73_18027,2015-03-01T21:56:51.040000Z,71.31999733386453,0.2,60.0,0.12,-0.6368646478919778,True
73_18028,2015-03-01T21:56:59.292000Z,-65.82404280065526,0.02,7.0,0.005,0.9685730319472645,True
73_18030,2015-03-01T21:57:31.204000Z,-19.62694059525876,0.02,36.0,0.015,0.9685730319472645,True
73_18031,2015-03-01T21:57:36.200000Z,31.333971146925478,0.25,48.0,0.12,-0.2593029642522984,True
73_18032,2015-03-01T21:57:39.130000Z,-20.984727599383064,0.03,67.0,0.145,0.0,True
73_18035,2015-03-01T21:58:12.552000Z,-83.40736056669527,0.19,50.0,0.115,-0.9528595479208969,True
73_18036,2015-03-01T21:58:26.120000Z,14.30843419948485,0.25,51.0,0.12,-0.9214325798681613,True
73_18037,2015-03-01T21:58:35.196000Z,-13.476975853003239,0.02,14.0,0.005,0.9685730319472645,True
73_18038,2015-03-01T21:58:43.673000Z,-78.90344833370818,0.05,4.0,0.005,0.0,True
73_18039,2015-03-01T21:58:53.742000Z,-60.31683470546966,0.1,6.0,0.005,-0.9842865159736323,True
73_18040,2015-03-01T21:59:03.760000Z,57.955725436782245,0.08,63.0,0.12,0.0,True
73_18041,2015-03-01T21:59:20.680000Z,-25.69401089399952,0.03,61.0,0.125,0.0,True
73_18042,2015-03-01T21:59:30.322000Z,-84.1241602361568,0.02,62.0,0.115,0.0,True
73_18045,2015-03-01T21:59:56.825000Z,-54.39062405891161,0.03,15.0,0.015,-0.8271516757099551,True
73_18047,2015-03-01T22:00:17.716000Z,-67.03871285276944,0.21,49.0,0.09,-0.6632151483792967,True
73_18051,2015-03-01T22:00:58.720000Z,-68.81904826382885,0.21,57.0,0.135,0.0,True
73_18052,2015-03-01T22:01:05.081000Z,6.802042423171258,0.14,49.0,0.145,0.67912746506834,True
73_18053,2015-03-01T22:01:24.134000Z,-65.83164099613862,0.02,7.0,0.005,1.0,True
73_18054,2015-03-01T22:01:30.157000Z,72.93574789111813,0.09,13.0,0.01,0.0,True
73_18058,2015-03-01T22:02:01.732000Z,-74.86914329829835,0.08,52.0,0.095,-0.9214325798681613,True
73_18061,2015-03-01T22:02:30.800000Z,-82.86871246860761,0.03,15.0,0.005,0.8742921277890582,True
73_18062,2015-03-01T22:02:38.776000Z,-63.05226376283292,0.02,10.0,0.01,0.16718534660251072,True
73_18063,2015-03-01T22:02:55.680000Z,-73.45752692905967,0.16,52.0,0.015,-0.5108813276746798,True
73_18064,2015-03-01T22:03:07.244000Z,-79.06489155224074,0.05,49.0,0.095,-0.9214325798681613,True
73_18065,2015-03-01T22:03:14.464000Z,-85.38463121263828,0.02,24.0,0.01,0.7485842555781164,True
73_18066,2015-03-01T22:03:21.356000Z,5.542771899138188,0.12,6.0,0.005,-0.9528595479208969,True
73_18068,2015-03-01T22:04:03.234000Z,-78.67752377077102,0.02,47.0,0.085,0.0,True
73_18069,2015-03-01T22:04:10.094000Z,-86.48483761219097,0.01,61.0,0.145,0.0,True
73_18070,2015-03-01T22:04:27.240000Z,-76.63984770447917,0.06,52.0,0.11,0.0,True
73_18071,2015-03-01T22:04:43.720000Z,53.9761701066259,0.12,56.0,0.03,0.0,True
73_18073,2015-03-01T22:05:19.920000Z,-65.84194907685571,0.02,7.0,0.005,0.9685730319472645,True
73_18074,2015-03-01T22:05:29.710000Z,-79.34428117216862,0.05,51.0,0.095,0.053922979670755544,True
73_18075,2015-03-01T22:05:45.360000Z,-66.99767715346559,0.02,8.0,0.005,-0.9528595479208969,True
73_18076,2015-03-01T22:05:59.052000Z,-67.97625110046079,0.02,51.0,0.125,0.0327587914302061,True
73_18077,2015-03-01T22:06:17.806000Z,-72.4716892716026,0.05,51.0,0.105,-0.7014438034990133,True
73_18078,2015-03-01T22:06:25.438000Z,-60.96677826303414,0.02,8.0,0.005,0.9685730319472645,True
73_18079,2015-03-01T22:06:41.459000Z,21.646699179415293,0.19,50.0,0.075,0.0,True
73_18080,2015-03-01T22:06:45.826000Z,43.01267218267276,0.04,60.0,0.12,0.46595822515092455,True
73_18082,2015-03-01T22:07:07.040000Z,78.51964936754212,0.01,64.0,0.115,0.8114381916835873,True
73_18083,2015-03-01T22:07:22.360000Z,23.048077002808554,0.02,48.0,0.105,0.8428651597363228,True
73_18084,2015-03-01T22:07:35.280000Z,5.898936504023254,0.19,5.0,0.005,0.7394869753523245,True
73_18085,2015-03-01T22:07:41.616000Z,16.748646961134966,0.23,6.0,0.005,-0.3753636265150003,True
73_18088,2015-03-01T22:08:09.320000Z,-81.22182944627468,0.05,4.0,0.005,0.0,True
73_18089,2015-03-01T22:09:01.282000Z,-55.69222029002657,0.03,25.0,0.01,0.9371460638945291,True
73_18092,2015-03-01T22:09:23.477000Z,48.77736227554692,0.1,70.0,0.14,0.9371460638945291,True
73_18093,2015-03-01T22:09:53.398000Z,5.234252277194486,0.2,51.0,0.07,0.8276881953414352,True
73_18095,2015-03-01T22:10:23.640000Z,87.95739037060542,0.01,55.0,0.12,1.0,True
73_18096,2015-03-01T22:10:32.958000Z,-81.36580468541979,0.02,7.0,0.005,0.5835926733012553,True
73_18097,2015-03-01T22:11:44.618000Z,15.249691912927346,0.27,10.0,0.005,-0.4788163729414989,True
73_18100,2015-03-01T22:13:35.960000Z,-62.81432452191291,0.03,18.0,0.005,0.35805080774869824,True
73_18101,2015-03-01T22:13:59.420000Z,-68.23295212243949,0.02,8.0,0.005,1.0,True
73_18103,2015-03-01T22:15:04.242000Z,-51.925548473431036,0.03,17.0,0.005,-0.6880962478307067,True
73_18104,2015-03-01T22:15:29.424000Z,-73.0908802754546,0.05,52.0,0.11,0.0,True
73_18107,2015-03-01T22:16:09.668000Z,-84.0490250103112,0.11,53.0,0.025,-0.9842865159736323,True
73_18108,2015-03-01T22:16:13.834000Z,30.900225705845855,0.1,49.0,0.1,0.5010504862373844,True
73_18113,2015-03-01T22:18:05.510000Z,-88.01973278944786,0.09,52.0,0.06,-0.9842865159736324,True
73_18114,2015-03-01T22:19:29.312000Z,12.844157714795074,0.17,54.0,0.055,0.21291285562556284,True
73_18115,2015-03-01T22:19:57.400000Z,80.55335082300581,0.01,60.0,0.14,0.5285954792089683,True
73_18116,2015-03-01T22:20:21.400000Z,6.80819601841003,0.15,49.0,0.11,-0.9214325798681613,True
73_18119,2015-03-01T22:23:45.640000Z,6.166446002627595,0.04,72.0,0.145,0.1501634144012025,True
73_18123,2015-03-01T22:24:59.218000Z,-72.90464988253103,0.02,14.0,0.005,1.0,True
73_18126,2015-03-01T22:25:24.926000Z,-49.55253455071011,0.02,8.0,0.005,1.0,True
73_18127,2015-03-01T22:25:43.800000Z,59.7010862130943,0.03,54.0,0.11,0.9057190958417937,True
73_18131,2015-03-01T22:26:36.560000Z,-75.8973924711874,0.18,72.0,0.14,-0.4869601608615469,True
73_18132,2015-03-01T22:26:50.558000Z,-59.06557575866725,0.03,12.0,0.005,0.9685730319472645,True
73_18133,2015-03-01T22:27:11.478000Z,58.448692186016046,0.01,15.0,0.005,0.4028876069980265,True
73_18134,2015-03-01T22:27:24.432000Z,-55.97231726414992,0.02,19.0,0.005,0.9685730319472645,True
73_18135,2015-03-01T22:27:35.048000Z,-66.438501115495,0.02,16.0,0.005,0.9685730319472645,True
73_18137,2015-03-01T22:28:06.720000Z,-52.79467044404271,0.03,55.0,0.095,0.9371460638945291,True
73_18140,2015-03-01T22:28:31.109000Z,44.65817492993909,0.05,49.0,0.09,0.0,True
73_18143,2015-03-01T22:29:00.924000Z,-59.118104014163805,0.03,14.0,0.005,0.9057190958417937,True
73_18144,2015-03-01T22:29:17.400000Z,5.268487909032331,0.17,50.0,0.055,-0.7957247076572196,True
73_18145,2015-03-01T22:30:19.140000Z,-68.13806027338535,0.02,7.0,0.005,0.0,True
73_18146,2015-03-01T22:30:30.600000Z,-31.83983118179492,0.02,17.0,0.005,0.3593502526610721,True
73_18147,2015-03-01T22:30:45.332000Z,67.0574550492081,0.01,13.0,0.005,0.0,True
73_18149,2015-03-01T22:31:20.357000Z,5.801074276693953,0.17,51.0,0.055,-0.7957247076572196,True
73_18151,2015-03-01T22:32:03.080000Z,-67.52912744022359,0.02,60.0,0.105,0.9685730319472645,True
73_18152,2015-03-01T22:32:08.159000Z,5.881663778468635,0.16,50.0,0.07,0.0,True
73_18153,2015-03-01T22:32:21.600000Z,-84.08599703895385,0.07,7.0,0.005,0.0,True
73_18154,2015-03-01T22:32:33.180000Z,-37.30877054179783,0.16,51.0,0.02,0.0,True
73_18155,2015-03-01T22:33:20.926000Z,9.295043873362886,0.17,68.0,0.105,0.9057190958417937,True
73_18156,2015-03-01T22:33:54.865000Z,-85.04416650313584,0.1,6.0,0.005,-0.7957247076572196,True
73_18157,2015-03-01T22:34:22.405000Z,-75.65254383591059,0.05,54.0,0.135,-0.4927683461994077,True
73_18159,2015-03-01T22:35:05.900000Z,-54.73308990973601,0.03,12.0,0.005,0.5914494153144392,True
73_18161,2015-03-01T22:36:41.560000Z,-63.56594312378576,0.03,20.0,0.005,0.8114381916835873,True
73_18162,2015-03-01T22:36:51.640000Z,-53.470634251408796,0.02,12.0,0.005,0.8114381916835873,True
73_18163,2015-03-01T22:37:11.200000Z,-41.37608558307795,0.2,51.0,0.02,0.8551288354399411,True
73_18164,2015-03-01T22:38:00.680000Z,23.228489465098733,0.21,51.0,0.07,0.0,True
73_18165,2015-03-01T22:38:12.870000Z,-73.24247445537264,0.09,49.0,0.035,-0.9842865159736324,True
73_18167,2015-03-01T22:39:06.825000Z,11.546980360160546,0.13,50.0,0.04,0.21291285562556284,True
73_18168,2015-03-01T22:39:29.840000Z,-62.16007706131833,0.02,63.0,0.105,1.0,True
73_18169,2015-03-01T22:39:33.778000Z,-20.9269521423642,0.03,65.0,0.14,-0.514659340714632,True
73_18170,2015-03-01T22:39:37.912000Z,6.08769250442549,0.22,48.0,0.095,-0.9214325798681613,True
73_18172,2015-03-01T22:41:36.440000Z,24.817158799341087,0.2,53.0,0.1,0.0,True
73_18173,2015-03-01T22:41:56.600000Z,-74.72697763729064,0.03,8.0,0.005,0.9371460638945291,True
73_18174,2015-03-01T22:42:15.758000Z,25.91862235288272,0.25,48.0,0.12,0.7737258300203048,True
73_18175,2015-03-01T22:42:27.502000Z,5.839564747362772,0.17,49.0,0.055,0.16718534660251072,True
73_18177,2015-03-01T22:43:11.620000Z,-87.54992693159375,0.07,52.0,0.065,0.5241059123442917,True
73_18178,2015-03-01T22:43:19.274000Z,76.50795085258983,0.04,21.0,0.005,0.19468394364865416,True
73_18179,2015-03-01T22:43:56.656000Z,-62.27911560417965,0.03,22.0,0.005,0.0,True
73_18180,2015-03-01T22:44:01.494000Z,-75.40577428035294,0.06,48.0,0.095,0.0,True
73_18181,2015-03-01T22:44:25.102000Z,-87.33695799634592,0.01,15.0,0.01,0.2384226894136091,True
73_18184,2015-03-01T22:48:52.360000Z,5.93351627306825,0.17,50.0,0.055,0.1986123146552461,True
73_18185,2015-03-01T22:48:58.630000Z,-68.6396054893163,0.03,16.0,0.005,0.0,True
73_18187,2015-03-01T22:49:29.760000Z,-77.97535052462388,0.06,52.0,0.095,0.0,True
