event_id,datetime,phi,dt,phi_error,dt_error,quality,success
463_115500,2020-07-23T18:26:58.828000Z,8.31639558949712,0.04,2.0,0.005,-0.7957247076572196,True
463_115501,2020-07-23T18:27:05.954000Z,-72.43682605359083,0.1,50.0,0.11,-0.9842865159736323,True
463_115503,2020-07-23T18:28:36.572000Z,17.565049922261665,0.17,49.0,0.07,0.0,True
463_115505,2020-07-23T21:37:28.762000Z,10.798442194084771,0.15,53.0,0.06,0.0110486911085943,True
463_115507,2020-07-24T03:26:04.445000Z,22.830772701958097,0.02,47.0,0.095,0.0,True
463_115508,2020-07-24T03:34:26.748000Z,12.455999378631873,0.02,52.0,0.095,0.053922979670755544,True
463_115509,2020-07-24T07:52:09.607000Z,-24.562157446820407,0.03,73.0,0.105,0.0,True
463_115512,2020-07-24T10:07:09.224000Z,-72.6033527448102,0.08,55.0,0.125,0.0,True
463_115513,2020-07-24T11:30:22.970000Z,10.772670259910683,0.14,50.0,0.11,-0.9842865159736323,True
463_115515,2020-07-24T14:55:08.090000Z,-78.50290478409505,0.01,14.0,0.01,0.0,True
463_115517,2020-07-24T18:17:15.040000Z,-70.53487900101356,0.02,11.0,0.01,0.07450380342405338,True
463_115518,2020-07-24T18:44:43.776000Z,10.169912692261164,0.13,49.0,0.02,0.0,True
463_115519,2020-07-24T18:59:31.574000Z,-60.5370040772396,0.02,64.0,0.12,0.0,True
463_115520,2020-07-24T19:00:34.664000Z,-56.41578172972612,0.02,14.0,0.005,0.0,True
463_115521,2020-07-24T19:23:01.080000Z,-77.93417775006617,0.12,49.0,0.03,-0.9528595479208969,True
463_115522,2020-07-24T21:13:52.110000Z,-75.17683259884416,0.05,49.0,0.08,-0.9528595479208969,True
463_115524,2020-07-24T22:46:42.098000Z,11.02622922265806,0.1,49.0,0.035,0.0,True
463_115525,2020-07-24T22:46:49.000000Z,-56.86878011041102,0.03,10.0,0.005,0.0327587914302061,True
463_115527,2020-07-25T01:25:08.475000Z,4.708841355614254,0.15,51.0,0.135,0.015678462651106728,True
463_115528,2020-07-25T04:15:43.349000Z,-86.1090098495701,0.03,56.0,0.14,-0.6385898673935424,True
