event_id,datetime,phi,dt,phi_error,dt_error,quality,success
268_66752,2015-04-12T05:52:04.746000Z,42.57191129769677,0.07,12.0,0.005,1.0,True
268_66755,2015-04-12T05:55:54.246000Z,-86.9764432517319,0.06,59.0,0.095,0.9371460638945291,True
268_66756,2015-04-12T05:56:18.395000Z,85.71883367983924,0.04,49.0,0.12,0.0,True
268_66757,2015-04-12T05:56:33.420000Z,19.984806384814874,0.05,8.0,0.01,0.0,True
268_66758,2015-04-12T05:56:42.277000Z,-66.4266070423879,0.21,54.0,0.09,0.4530646089386199,True
268_66760,2015-04-12T05:57:17.966000Z,63.847738580709915,0.02,19.0,0.005,0.7485842555781164,True
268_66762,2015-04-12T06:05:31.307000Z,-77.28900167165551,0.03,16.0,0.005,0.9685730319472645,True
268_66763,2015-04-12T06:10:08.174000Z,-0.8892839384334934,0.18,52.0,0.03,0.0,True
268_66764,2015-04-12T06:10:24.853000Z,2.7989206440232124,0.25,49.0,0.115,0.0,True
268_66765,2015-04-12T06:11:39.560000Z,-43.59660391153864,0.08,57.0,0.085,-0.6452211173765332,True
268_66767,2015-04-12T06:19:10.026000Z,-73.38378495580753,0.03,68.0,0.055,0.6775862638100687,True
268_66769,2015-04-12T06:24:35.252000Z,-76.31113136347398,0.02,16.0,0.005,0.0,True
268_66770,2015-04-12T06:25:20.884000Z,13.539169706881125,0.25,8.0,0.005,0.7922727334124126,True
268_66771,2015-04-12T06:33:23.503000Z,-87.23643838772011,0.09,67.0,0.145,0.44913087750042047,True
268_66772,2015-04-12T06:45:50.178000Z,-12.621753821006791,0.08,57.0,0.095,0.8742921277890582,True
268_66773,2015-04-12T06:47:40.325000Z,-71.2108479482938,0.02,14.0,0.005,0.9371460638945291,True
268_66774,2015-04-12T06:48:34.493000Z,-24.619915579117446,0.07,60.0,0.14,0.0,True
268_66775,2015-04-12T06:57:26.644000Z,-45.218730639562295,0.03,22.0,0.005,0.7485842555781164,True
268_66776,2015-04-12T06:57:40.118000Z,-54.8050556435752,0.03,31.0,0.005,0.5600224472617037,True
268_66777,2015-04-12T06:58:15.460000Z,22.08220513228332,0.25,50.0,0.115,-0.35018331169855155,True
268_66778,2015-04-12T07:02:00.411000Z,-85.2905416353857,0.09,63.0,0.12,0.9214325798681614,True
268_66779,2015-04-12T07:02:18.360000Z,64.44410178244749,0.05,55.0,0.1,0.0,True
268_66780,2015-04-12T07:05:06.292000Z,15.917979606699873,0.19,51.0,0.03,-0.43880973835633263,True
268_66781,2015-04-12T07:05:16.972000Z,42.06325107742805,0.09,59.0,0.135,0.0,True
268_66782,2015-04-12T07:09:14.462000Z,17.851211726643214,0.18,49.0,0.03,-0.8271516757099551,True
268_66783,2015-04-12T07:09:55.589000Z,-17.9894834539744,0.16,8.0,0.005,-0.7642977396044842,True
268_66784,2015-04-12T07:22:45.749000Z,-27.529432631071927,0.03,54.0,0.015,0.6543033514199101,True
268_66785,2015-04-12T07:26:48.736000Z,36.56811129398528,0.03,21.0,0.01,0.0,True
268_66787,2015-04-12T07:37:04.594000Z,-30.28964737354667,0.02,65.0,0.13,0.0,True
268_66788,2015-04-12T07:40:08.449000Z,-84.20648146700796,0.06,51.0,0.14,0.0,True
268_66789,2015-04-12T07:48:40.763000Z,-75.66260977982995,0.03,11.0,0.01,0.9685730319472645,True
268_66790,2015-04-12T07:48:59.314000Z,-77.68708444374624,0.02,12.0,0.005,0.7485842555781164,True
268_66794,2015-04-12T08:02:11.310000Z,-66.30497856015393,0.02,11.0,0.005,0.9685730319472645,True
268_66795,2015-04-12T08:05:08.520000Z,35.277067014582485,0.17,53.0,0.03,0.947867878163113,True
268_66796,2015-04-12T08:13:32.381000Z,15.18473311449668,0.25,9.0,0.005,0.7651583144244817,True
268_66799,2015-04-12T08:20:32.254000Z,-84.59613070029582,0.05,47.0,0.095,0.0,True
268_66800,2015-04-12T08:21:25.436000Z,12.939417804619211,0.19,56.0,0.1,0.07450380342405338,True
268_66801,2015-04-12T08:21:52.297000Z,-14.611142354754975,0.14,57.0,0.095,-0.5494900848222435,True
268_66802,2015-04-12T08:26:10.096000Z,-75.87607243138524,0.02,25.0,0.015,0.0,True
268_66804,2015-04-12T08:28:41.400000Z,-89.8246325809618,0.09,4.0,0.005,-0.9528595479208969,True
268_66805,2015-04-12T08:29:26.690000Z,10.286929842841289,0.25,15.0,0.005,0.780708210621353,True
268_66808,2015-04-12T08:43:23.422000Z,-3.933383925454166,0.16,50.0,0.095,0.2032176736289365,True
268_66809,2015-04-12T08:45:57.922000Z,87.67124737028689,0.05,4.0,0.005,0.0110486911085943,True
268_66811,2015-04-12T08:58:30.049000Z,10.072398196981283,0.17,49.0,0.1,0.0,True
268_66812,2015-04-12T08:59:56.474000Z,-87.27440195499702,0.06,50.0,0.135,0.0110486911085943,True
268_66813,2015-04-12T09:00:30.595000Z,-72.17533704828259,0.03,53.0,0.135,1.0,True
268_66814,2015-04-12T09:00:52.490000Z,89.80846667622609,0.05,5.0,0.005,0.9371460638945291,True
268_66815,2015-04-12T09:03:01.505000Z,88.81227484143852,0.05,47.0,0.1,-0.9842865159736324,True
268_66816,2015-04-12T09:03:41.025000Z,32.66061518366462,0.18,58.0,0.03,0.8742921277890582,True
268_66817,2015-04-12T09:03:55.509000Z,9.2398000480963,0.17,49.0,0.05,0.0110486911085943,True
268_66818,2015-04-12T09:05:57.722000Z,6.090750806962205,0.26,49.0,0.12,0.0,True
268_66819,2015-04-12T09:07:53.393000Z,89.38328995415179,0.13,50.0,0.02,-0.9842865159736324,True
268_66820,2015-04-12T09:08:48.639000Z,14.90711918605541,0.27,6.0,0.005,0.9389169536945531,True
268_66821,2015-04-12T09:11:16.949000Z,20.816692326953046,0.25,53.0,0.115,0.8527285197708365,True
268_66822,2015-04-12T09:12:28.995000Z,-61.17953514305425,0.03,53.0,0.12,0.0,True
