event_id,datetime,phi,dt,phi_error,dt_error,quality,success
380_94752,2018-05-31T14:54:36.062000Z,-20.11107541206053,0.05,6.0,0.005,0.1986123146552461,True
380_94754,2018-05-31T15:50:53.636000Z,-15.253363493856114,0.04,45.0,0.01,0.49716851115623284,True
380_94755,2018-05-31T16:39:25.996000Z,-42.26465097186565,0.02,53.0,0.145,0.0,True
380_94757,2018-05-31T17:29:37.680000Z,-71.72576811220847,0.08,60.0,0.085,0.5481135221221054,True
380_94758,2018-05-31T17:30:07.274000Z,13.592809476494608,0.23,57.0,0.085,0.0,True
380_94759,2018-05-31T17:31:40.480000Z,-69.77428063412196,0.07,62.0,0.13,0.5959389821791157,True
380_94760,2018-05-31T19:44:24.468000Z,-82.53818827564658,0.21,51.0,0.085,-0.7957247076572196,True
380_94761,2018-06-01T00:16:05.009000Z,27.899830352371964,0.05,10.0,0.005,-0.850928801500014,True
380_94762,2018-06-01T02:53:24.825000Z,-10.143446980159297,0.01,32.0,0.005,0.8742921277890582,True
380_94763,2018-06-01T02:55:07.697000Z,-48.0791148219941,0.01,22.0,0.005,0.5914494153144392,True
380_94768,2018-06-01T12:46:57.205000Z,-59.98448108053856,0.01,41.0,0.01,0.057190958417936644,True
380_94769,2018-06-01T13:31:35.824000Z,5.446151540906897,0.01,43.0,0.01,0.8742921277890582,True
380_94770,2018-06-01T13:33:43.438000Z,5.155503121693755,0.01,12.0,0.03,0.8114381916835873,True
380_94772,2018-06-01T14:07:33.072000Z,32.99579477017079,0.17,53.0,0.095,0.0,True
380_94774,2018-06-01T14:34:14.309000Z,71.19175716785406,0.02,18.0,0.015,0.10968863817894914,True
380_94775,2018-06-01T14:39:48.707000Z,-56.11934212437234,0.13,54.0,0.09,0.4016788774575367,True
380_94776,2018-06-01T14:42:45.955000Z,68.30927571344216,0.02,12.0,0.01,-0.890005611815426,True
380_94777,2018-06-01T14:43:24.691000Z,62.05230448413079,0.03,12.0,0.01,0.0,True
380_94778,2018-06-01T14:43:41.927000Z,76.66654036972949,0.02,16.0,0.01,0.33291679679368325,True
380_94780,2018-06-01T14:44:27.351000Z,60.69790193333063,0.03,18.0,0.04,-0.8585786437626906,True
380_94781,2018-06-01T14:45:15.099000Z,-69.3761694433972,0.09,51.0,0.06,0.0,True
380_94782,2018-06-01T14:46:04.406000Z,67.24888399675808,0.02,54.0,0.14,-0.9528595479208969,True
380_94786,2018-06-01T14:51:58.427000Z,-3.888623480981323,0.01,5.0,0.005,0.0,True
380_94787,2018-06-01T14:52:31.527000Z,55.38990768265171,0.14,51.0,0.05,0.053922979670755544,True
380_94788,2018-06-01T14:56:38.608000Z,69.58662049295236,0.07,52.0,0.1,0.2384226894136091,True
380_94789,2018-06-01T14:58:29.811000Z,75.60095720293748,0.02,45.0,0.015,0.4830645860243059,True
380_94798,2018-06-01T15:26:47.980000Z,-77.02341774712738,0.09,5.0,0.005,0.9685730319472645,True
380_94799,2018-06-01T15:27:10.441000Z,8.398478890075864,0.02,49.0,0.085,-0.9214325798681613,True
380_94800,2018-06-01T15:36:15.051000Z,-66.24811861687465,0.11,50.0,0.02,-0.9214325798681613,True
380_94801,2018-06-01T15:36:49.801000Z,79.47328711065848,0.02,54.0,0.135,0.0,True
380_94803,2018-06-01T15:47:25.025000Z,-0.44309848505562854,0.02,14.0,0.015,0.0,True
380_94805,2018-06-01T15:58:53.430000Z,25.64479068102051,0.02,4.0,0.005,-0.9214325798681613,True
380_94807,2018-06-01T16:02:20.277000Z,76.34286379215575,0.02,8.0,0.09,-0.9528595479208969,True
380_94808,2018-06-01T16:03:18.245000Z,-43.44047286704949,0.04,72.0,0.115,-0.494413920335402,True
380_94809,2018-06-01T16:03:25.200000Z,-31.069381020986498,0.03,64.0,0.125,0.9057190958417937,True
380_94813,2018-06-01T16:04:03.860000Z,-13.943517674255077,0.13,55.0,0.015,-0.8271516757099551,True
380_94814,2018-06-01T16:04:20.560000Z,77.42576490211684,0.16,53.0,0.035,-0.9528595479208969,True
380_94815,2018-06-01T16:04:34.610000Z,76.6660660338676,0.07,54.0,0.06,0.0,True
380_94821,2018-06-01T16:06:10.702000Z,-23.015521262357424,0.09,53.0,0.04,0.0,True
380_94825,2018-06-01T16:07:48.529000Z,68.47577479325616,0.06,57.0,0.135,0.0,True
380_94829,2018-06-01T16:08:48.040000Z,74.77640594602445,0.06,48.0,0.105,0.0327587914302061,True
380_94832,2018-06-01T16:09:16.578000Z,82.82391584140066,0.03,54.0,0.13,0.0,True
380_94834,2018-06-01T16:10:28.898000Z,-5.601950988871522,0.01,45.0,0.015,0.8742921277890582,True
380_94841,2018-06-01T16:17:23.048000Z,-76.2757146437877,0.01,47.0,0.105,-0.7642977396044841,True
380_94843,2018-06-01T16:18:43.048000Z,19.002167339875257,0.05,50.0,0.11,0.0,True
380_94845,2018-06-01T16:20:26.712000Z,-73.27686957609143,0.23,7.0,0.005,-0.9214325798681613,True
380_94846,2018-06-01T16:21:46.716000Z,20.523472180313206,0.05,50.0,0.095,0.0,True
380_94847,2018-06-01T16:21:54.286000Z,-74.51671219277569,0.27,8.0,0.005,0.0,True
380_94848,2018-06-01T16:26:30.401000Z,-29.167757153441812,0.06,52.0,0.095,0.30860670283982017,True
380_94849,2018-06-01T16:51:21.784000Z,50.687252659317636,0.04,56.0,0.115,0.0,True
380_94851,2018-06-01T17:17:06.876000Z,-65.06944118925333,0.22,53.0,0.095,-0.5757359312880714,True
380_94852,2018-06-01T17:41:59.930000Z,43.29153581196232,0.18,61.0,0.02,0.899384609576251,True
380_94853,2018-06-01T18:01:19.274000Z,4.133492552879659,0.04,50.0,0.105,-0.9528595479208969,True
