event_id,datetime,phi,dt,phi_error,dt_error,quality,success
207_51500,2015-03-31T12:32:05.607000Z,-57.49382813504212,0.03,14.0,0.005,0.9371460638945291,True
207_51501,2015-03-31T12:32:40.289000Z,5.939867601202138,0.18,48.0,0.03,-0.9528595479208969,True
207_51502,2015-03-31T12:32:57.302000Z,86.96140254723855,0.03,11.0,0.005,0.8428651597363228,True
207_51503,2015-03-31T12:33:19.304000Z,-83.31293656142725,0.25,48.0,0.03,-0.38456880518163883,True
207_51504,2015-03-31T12:33:54.258000Z,14.958244294869303,0.26,7.0,0.005,-0.7642977396044842,True
207_51506,2015-03-31T12:34:08.615000Z,-49.08429609007783,0.02,13.0,0.005,0.9685730319472645,True
207_51508,2015-03-31T12:35:09.401000Z,-88.19199653248381,0.08,48.0,0.1,-0.9528595479208969,True
207_51509,2015-03-31T12:35:25.350000Z,-5.862064956512199,0.19,56.0,0.07,0.7913976805736516,True
207_51510,2015-03-31T12:35:38.471000Z,-21.67194823117461,0.02,12.0,0.01,0.0,True
207_51511,2015-03-31T12:36:08.873000Z,-59.259627173932984,0.02,13.0,0.005,0.9371460638945291,True
207_51512,2015-03-31T12:36:57.868000Z,-47.56887637664738,0.03,20.0,0.005,0.14958252808211325,True
207_51513,2015-03-31T12:37:05.042000Z,-66.43556869831684,0.02,11.0,0.005,0.9371460638945291,True
207_51515,2015-03-31T12:37:17.499000Z,-75.551850510603,0.02,53.0,0.09,0.0,True
207_51516,2015-03-31T12:37:25.369000Z,-68.59913886275143,0.02,9.0,0.005,0.8742921277890582,True
207_51517,2015-03-31T12:37:45.657000Z,-61.29399184108246,0.02,11.0,0.005,0.9685730319472645,True
207_51519,2015-03-31T12:37:56.810000Z,-65.15798571219472,0.02,12.0,0.005,0.9371460638945291,True
207_51520,2015-03-31T12:38:19.695000Z,-59.329778964480624,0.02,12.0,0.005,1.0,True
207_51521,2015-03-31T12:38:42.450000Z,-82.62449604195888,0.02,50.0,0.115,1.0,True
207_51523,2015-03-31T12:40:11.248000Z,7.9442502092287555,0.19,48.0,0.11,0.3046117217244665,True
207_51524,2015-03-31T12:40:21.282000Z,-71.81211809240261,0.03,18.0,0.01,0.0,True
207_51525,2015-03-31T12:40:33.785000Z,-67.73468315742514,0.03,18.0,0.005,0.8114381916835873,True
207_51526,2015-03-31T12:40:38.424000Z,14.969538462828382,0.29,8.0,0.005,-0.38282390807406275,True
207_51528,2015-03-31T12:41:02.284000Z,-74.30353561647803,0.02,6.0,0.005,0.9685730319472645,True
207_51529,2015-03-31T12:41:09.064000Z,-78.07518847700658,0.03,16.0,0.005,0.0,True
207_51531,2015-03-31T12:42:18.608000Z,-81.32899348309752,0.02,7.0,0.01,0.0,True
207_51533,2015-03-31T12:42:27.642000Z,-81.52917108722761,0.02,5.0,0.005,0.16718534660251072,True
207_51536,2015-03-31T12:43:30.944000Z,-84.31811540844734,0.02,8.0,0.005,1.0,True
207_51537,2015-03-31T12:44:14.096000Z,-86.34396982757508,0.05,5.0,0.005,0.0,True
207_51538,2015-03-31T12:44:41.178000Z,12.999754966609657,0.25,9.0,0.005,0.8020101012677667,True
207_51539,2015-03-31T12:45:50.366000Z,-67.2872044709523,0.02,59.0,0.14,-0.5372519017120267,True
207_51540,2015-03-31T12:46:18.221000Z,8.456425162495975,0.25,4.0,0.005,0.7737258300203048,True
207_51541,2015-03-31T12:46:33.112000Z,-85.26938215585801,0.02,50.0,0.11,-0.9214325798681613,True
207_51543,2015-03-31T12:46:41.517000Z,10.310526226924708,0.21,52.0,0.07,0.0,True
207_51544,2015-03-31T12:46:48.341000Z,-87.96991086348316,0.05,10.0,0.005,0.9685730319472645,True
207_51545,2015-03-31T12:46:56.155000Z,-89.62448580936626,0.01,53.0,0.145,0.0,True
207_51546,2015-03-31T12:47:04.541000Z,-58.821341899961794,0.03,10.0,0.005,0.8114381916835873,True
207_51547,2015-03-31T12:47:20.440000Z,-88.47211659443002,0.05,5.0,0.005,0.0,True
207_51548,2015-03-31T12:47:49.236000Z,41.34405333565087,0.27,15.0,0.005,0.918182510983798,True
207_51549,2015-03-31T12:49:21.099000Z,88.03710545514741,0.01,47.0,0.09,0.0,True
207_51550,2015-03-31T12:50:12.805000Z,-80.37957145930318,0.09,51.0,0.03,-0.9842865159736324,True
207_51551,2015-03-31T12:51:21.519000Z,-45.211786187340294,0.03,57.0,0.105,0.9371460638945291,True
207_51552,2015-03-31T12:53:46.149000Z,42.679428702043595,0.04,20.0,0.005,0.9371460638945291,True
207_51553,2015-03-31T12:54:39.165000Z,-0.966539607762229,0.25,65.0,0.115,-0.2878202474094058,True
207_51554,2015-03-31T12:54:48.101000Z,-86.78862437545757,0.05,49.0,0.12,0.11375392877292145,True
207_51555,2015-03-31T12:55:05.929000Z,10.235250513253845,0.19,50.0,0.07,0.0,True
207_51556,2015-03-31T12:55:42.349000Z,-85.43955456602987,0.1,52.0,0.025,0.0,True
207_51557,2015-03-31T12:55:47.738000Z,-83.76474948674615,0.02,49.0,0.085,-0.9528595479208969,True
207_51558,2015-03-31T12:57:45.684000Z,-82.82307347339525,0.06,48.0,0.06,0.1501634144012025,True
207_51560,2015-03-31T12:58:59.154000Z,-82.85115822730648,0.06,5.0,0.005,0.16718534660251072,True
207_51561,2015-03-31T12:59:34.492000Z,-82.45205862662033,0.02,49.0,0.1,0.1501634144012025,True
207_51564,2015-03-31T13:00:53.930000Z,10.195455812728255,0.14,49.0,0.03,0.9685730319472645,True
207_51565,2015-03-31T13:01:04.983000Z,15.334736152311677,0.18,49.0,0.03,-0.6071628993408069,True
207_51566,2015-03-31T13:01:34.776000Z,13.286245278435217,0.16,48.0,0.03,0.0,True
207_51567,2015-03-31T13:02:13.414000Z,-72.89158882093119,0.03,19.0,0.005,0.9371460638945291,True
207_51568,2015-03-31T13:02:36.586000Z,89.33910210746939,0.03,24.0,0.005,0.9057190958417937,True
207_51571,2015-03-31T13:02:59.299000Z,-85.42187898590078,0.05,4.0,0.005,-0.7957247076572196,True
207_51572,2015-03-31T13:03:22.445000Z,-82.93764915459553,0.06,48.0,0.105,-0.9528595479208969,True
207_51575,2015-03-31T13:03:48.359000Z,-86.62238307940379,0.06,49.0,0.11,0.0,True
207_51576,2015-03-31T13:04:05.522000Z,14.212487855230165,0.16,48.0,0.03,0.0,True
207_51577,2015-03-31T13:04:36.653000Z,-87.52097050746858,0.05,47.0,0.095,0.0327587914302061,True
207_51580,2015-03-31T13:06:20.508000Z,-73.82402494878698,0.06,48.0,0.07,-0.9214325798681613,True
207_51581,2015-03-31T13:06:36.678000Z,-84.95191630221154,0.06,50.0,0.07,-0.7642977396044841,True
207_51582,2015-03-31T13:07:58.547000Z,-81.64036479612571,0.06,48.0,0.12,0.09446148618625827,True
207_51584,2015-03-31T13:08:19.138000Z,18.234316233533377,0.25,48.0,0.12,0.8585786437626906,True
207_51586,2015-03-31T13:09:10.851000Z,-87.68825447996704,0.05,3.0,0.005,-0.9528595479208969,True
207_51587,2015-03-31T13:09:23.045000Z,44.10142012185497,0.03,31.0,0.04,0.0,True
207_51588,2015-03-31T13:09:47.545000Z,16.660526766550845,0.18,50.0,0.03,0.0,True
207_51589,2015-03-31T13:10:25.176000Z,-84.43744968277718,0.05,4.0,0.005,-0.6700168354462779,True
207_51590,2015-03-31T13:10:46.854000Z,34.08729103916937,0.25,8.0,0.005,0.8302943725152285,True
207_51591,2015-03-31T13:11:26.801000Z,10.987706128584364,0.16,50.0,0.1,0.0,True
207_51593,2015-03-31T13:12:13.286000Z,19.582272761292472,0.26,6.0,0.005,0.699193258484611,True
207_51594,2015-03-31T13:12:33.530000Z,-75.93914704277609,0.03,11.0,0.005,0.9685730319472645,True
207_51595,2015-03-31T13:13:25.710000Z,7.586762472103203,0.2,53.0,0.065,0.0,True
207_51596,2015-03-31T13:13:35.370000Z,-84.73123268457061,0.05,4.0,0.005,0.18335222999942413,True
207_51597,2015-03-31T13:13:57.278000Z,88.39325630819701,0.05,3.0,0.005,0.0327587914302061,True
207_51598,2015-03-31T13:14:05.489000Z,83.82672830914328,0.08,50.0,0.085,0.043280344092377354,True
207_51599,2015-03-31T13:15:01.230000Z,9.615088935530764,0.05,49.0,0.115,0.0,True
207_51600,2015-03-31T13:16:17.780000Z,84.98047192336321,0.03,32.0,0.005,-0.8585786437626906,True
207_51601,2015-03-31T13:16:46.723000Z,82.20307972484773,0.25,52.0,0.115,-0.7788023619888123,True
207_51602,2015-03-31T13:17:25.230000Z,-78.68840524514655,0.04,51.0,0.095,-0.8271516757099551,True
207_51603,2015-03-31T13:18:03.156000Z,33.17791158412069,0.25,8.0,0.005,0.9151471862576143,True
207_51604,2015-03-31T13:18:24.585000Z,4.38415103581417,0.11,51.0,0.03,-0.8585786437626906,True
207_51605,2015-03-31T13:19:17.640000Z,-31.274560396309255,0.03,23.0,0.005,0.5914494153144392,True
207_51606,2015-03-31T13:19:25.133000Z,-81.9516155210772,0.06,3.0,0.005,0.18335222999942413,True
207_51607,2015-03-31T13:20:29.561000Z,2.003592092165718,0.15,49.0,0.145,0.0,True
207_51608,2015-03-31T13:22:49.698000Z,-65.00668516432177,0.02,8.0,0.005,0.9685730319472645,True
207_51609,2015-03-31T13:23:20.070000Z,-77.27987877555961,0.03,10.0,0.005,0.9371460638945291,True
207_51610,2015-03-31T13:24:59.690000Z,-87.59603953341343,0.05,3.0,0.005,-0.9842865159736323,True
207_51611,2015-03-31T13:27:05.960000Z,-66.3019149749876,0.03,11.0,0.005,0.6857303194726456,True
207_51612,2015-03-31T13:29:02.177000Z,8.825263156702079,0.19,47.0,0.075,0.053922979670755544,True
207_51613,2015-03-31T13:29:30.502000Z,-77.16750281545546,0.03,17.0,0.005,0.8742921277890582,True
207_51614,2015-03-31T13:30:59.698000Z,-80.9687388986942,0.03,48.0,0.115,0.13233675531757172,True
207_51615,2015-03-31T13:31:13.893000Z,-0.2654982482131345,0.16,50.0,0.115,-0.9528595479208969,True
207_51618,2015-03-31T13:31:51.819000Z,-68.62394391004665,0.06,6.0,0.005,-0.8159106497135457,True
207_51619,2015-03-31T13:31:59.661000Z,5.4886269208737986,0.15,52.0,0.095,-0.4016483547628329,True
207_51620,2015-03-31T13:32:27.140000Z,-78.66917833188239,0.03,10.0,0.005,0.8428651597363228,True
207_51621,2015-03-31T13:32:44.806000Z,-74.42242313045347,0.03,14.0,0.005,0.0,True
207_51622,2015-03-31T13:33:08.915000Z,-82.83310827442875,0.03,48.0,0.12,0.16718534660251072,True
207_51624,2015-03-31T13:33:25.842000Z,6.802197145176422,0.16,52.0,0.095,-0.8900056118154259,True
207_51626,2015-03-31T13:33:41.564000Z,13.548233873507456,0.14,50.0,0.03,-0.3991806635672467,True
207_51627,2015-03-31T13:34:20.461000Z,57.00086011237778,0.02,33.0,0.01,0.7800112236308518,True
207_51628,2015-03-31T13:34:29.130000Z,8.89517587963644,0.25,7.0,0.005,-0.41244175492294843,True
207_51629,2015-03-31T13:37:08.835000Z,-69.11527624023046,0.05,52.0,0.105,0.9371460638945291,True
207_51630,2015-03-31T13:37:15.638000Z,12.00531937084952,0.16,49.0,0.03,-0.22498257685853307,True
207_51631,2015-03-31T13:37:26.167000Z,-3.4800481515093793,0.01,35.0,0.005,0.0,True
207_51633,2015-03-31T13:38:31.857000Z,-89.64742573705485,0.07,49.0,0.125,0.053922979670755544,True
207_51634,2015-03-31T13:38:44.950000Z,-78.49885748598626,0.03,50.0,0.095,0.8428651597363228,True
207_51635,2015-03-31T13:39:02.580000Z,-71.82767107236168,0.05,50.0,0.115,-0.8585786437626906,True
207_51637,2015-03-31T13:40:36.267000Z,-72.51891636818539,0.03,14.0,0.005,0.9371460638945291,True
207_51639,2015-03-31T13:41:32.811000Z,5.5077315916325915,0.1,57.0,0.015,0.2942913551910925,True
207_51640,2015-03-31T13:42:09.853000Z,-79.00813249367758,0.03,55.0,0.125,0.9057190958417937,True
207_51641,2015-03-31T13:42:25.694000Z,66.80800699262255,0.25,12.0,0.005,0.022202020410714507,True
207_51642,2015-03-31T13:42:39.091000Z,44.18180970295987,0.26,61.0,0.125,0.09385584405479852,True
207_51643,2015-03-31T13:42:56.970000Z,-73.15627371009828,0.03,6.0,0.005,0.9371460638945291,True
207_51644,2015-03-31T13:43:22.397000Z,-80.2504999316265,0.03,24.0,0.04,0.9371460638945291,True
207_51645,2015-03-31T13:43:27.618000Z,25.471720424689693,0.26,19.0,0.005,-0.31941200817949267,True
207_51647,2015-03-31T13:44:46.068000Z,-82.43898703012627,0.03,55.0,0.125,0.8428651597363228,True
207_51648,2015-03-31T13:44:52.361000Z,-74.27849746014977,0.03,13.0,0.005,1.0,True
207_51649,2015-03-31T13:44:57.021000Z,13.173359376654957,0.25,5.0,0.005,-0.6385898673935424,True
207_51651,2015-03-31T13:48:13.285000Z,30.252631209969877,0.25,12.0,0.005,0.0,True
