batch,event_id,waveform_file,station,datetime,s_arrival_time,p_arrival_time,latitude,longitude,depth,back_azimuth,magnitude,snr_horizontal,rectilinearity_jurkevics,incidence_p_jurkevics,incidence_pykonal_s
1,1_1,waveforms/batch1_event_2015-01-22T00-11-48.772000Z.mseed,AXEC2,2015-01-22T00:11:48.772000Z,1.648,0.818,45.941242,-130.013107,0.505,273.99474210790527,0.0,3.605482590572076,0.7209316202379383,34.60655381095754,18.10288379169059
1,1_2,waveforms/batch1_event_2015-01-22T02-02-41.045000Z.mseed,AXEC2,2015-01-22T02:02:41.045000Z,1.605,0.855,45.941704,-130.012985,0.529,274.96895848570966,0.0,4.5631557073175575,0.8392252905095154,2.4719696961122417,15.052438513945766
1,1_5,waveforms/batch1_event_2015-01-22T02-36-07.029000Z.mseed,AXEC2,2015-01-22T02:36:07.029000Z,1.361,0.421,45.959137,-129.992798,1.637,326.46156146977137,0.0,4.286489914934399,0.8558898678132014,69.74106011614714,13.661155217661348
1,1_6,waveforms/batch1_event_2015-01-22T02-39-20.772000Z.mseed,AXEC2,2015-01-22T02:39:20.772000Z,0.918,0.458,45.944874,-129.990936,0.634,294.2296007605017,0.0,3.800761926792195,0.9574387692459171,8.107061252217113,16.569484227424176
1,1_7,waveforms/batch1_event_2015-01-22T02-41-52.308000Z.mseed,AXEC2,2015-01-22T02:41:52.308000Z,1.772,0.222,45.969482,-129.999695,1.861,329.49974303975165,0.0,3.494786214935753,0.7777490977201262,42.68900377114521,15.591621231912928
1,1_8,waveforms/batch1_event_2015-01-22T02-42-34.067000Z.mseed,AXEC2,2015-01-22T02:42:34.067000Z,0.933,0.473,45.945049,-129.990891,0.894,294.98735730639214,0.0,3.7521285681277066,0.9778871832838165,8.802253994737589,18.179209469286327
1,1_9,waveforms/batch1_event_2015-01-22T02-50-16.026000Z.mseed,AXEC2,2015-01-22T02:50:16.026000Z,1.524,0.764,45.963005,-129.998108,1.457,324.70581127383787,0.0,7.542423056147344,0.9665422645628061,8.705884961861681,14.640102238756544
1,1_10,waveforms/batch1_event_2015-01-22T02-59-40.870000Z.mseed,AXEC2,2015-01-22T02:59:40.870000Z,0.93,0.47,45.944847,-129.991104,0.631,293.9176182877403,0.0,3.451372246826739,0.9813738687694461,9.7717915703144,19.018448124446838
1,1_12,waveforms/batch1_event_2015-01-22T03-01-31.660000Z.mseed,AXEC2,2015-01-22T03:01:31.660000Z,1.26,0.64,45.950054,-129.99675,0.45,303.67487184846,0.0,8.743207795359869,0.9817883456156915,4.970069141066984,20.74380322136114
1,1_13,waveforms/batch1_event_2015-01-22T03-37-40.693000Z.mseed,AXEC2,2015-01-22T03:37:40.693000Z,1.617,0.897,45.94381,-130.01825,0.824,278.319943766484,0.0,2.998047214221349,0.9610611887793812,17.963199995057224,14.153037339029416
1,1_14,waveforms/batch1_event_2015-01-22T03-40-37.373000Z.mseed,AXEC2,2015-01-22T03:40:37.373000Z,1.597,0.837,45.953995,-130.005264,0.372,303.8416423706633,0.0,5.588924870933748,0.9684110143573873,7.916859071054163,14.890224169800588
1,1_15,waveforms/batch1_event_2015-01-22T03-43-42.577000Z.mseed,AXEC2,2015-01-22T03:43:42.577000Z,1.443,0.733,45.949768,-129.997452,0.118,302.17491146023855,0.0,4.599814550412324,0.8803256215053302,16.779852005759828,15.532780142635055
1,1_16,waveforms/batch1_event_2015-01-22T03-43-52.227000Z.mseed,AXEC2,2015-01-22T03:43:52.227000Z,1.413,0.663,45.950581,-129.997696,0.18,303.9141332791834,0.0,7.301183823486827,0.9599261235223084,9.859787437979772,15.182336051440528
1,1_17,waveforms/batch1_event_2015-01-22T04-01-36.519000Z.mseed,AXEC2,2015-01-22T04:01:36.519000Z,1.361,0.741,45.935841,-130.000183,0.231,258.95862280492247,0.0,2.3046341144021945,0.7824955903784214,74.48146364162676,15.447700588073312
1,1_19,waveforms/batch1_event_2015-01-22T04-45-04.100000Z.mseed,AXEC2,2015-01-22T04:45:04.100000Z,1.64,0.87,45.941299,-130.013107,0.489,274.11343017304387,0.0,5.277271205520332,0.9735035211800965,9.417950839251061,16.57956833258228
1,1_20,waveforms/batch1_event_2015-01-22T04-49-52.300000Z.mseed,AXEC2,2015-01-22T04:49:52.300000Z,1.24,0.69,45.956303,-129.993515,1.099,321.12191237276664,0.0,5.271544103543377,0.9360678283770318,7.927293718342739,15.67596759528683
1,1_21,waveforms/batch1_event_2015-01-22T04-51-47.298000Z.mseed,AXEC2,2015-01-22T04:51:47.298000Z,1.832,1.552,45.969303,-129.992477,2.647,336.97570896981244,0.0,2.5204939259581143,0.9524886006210879,19.77797002005053,47.55452852754936
