event_id,waveform_file,station,origin_time,datetime,s_arrival_time,p_arrival_time,latitude,longitude,depth,back_azimuth,snr_horizontal,rectilinearity_jurkevics,incidence_eigenvalue_jurkevics,magnitude
75910,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:21:16.291000Z.mseed,AXEC2,2015-04-20T00:21:16.291000Z,2015-04-20T00:21:16.291000Z,1.52,1.01,45.94073,-130.01531,0.795,272.8109169091816,4.73862113330431,0.9395107644177709,2.2742286848787545,-0.0
75915,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:22:44.734999Z.mseed,AXEC2,2015-04-20T00:22:44.734999Z,2015-04-20T00:22:44.734999Z,1.57,0.84,45.93795,-130.01934,1.318,267.6175353813104,6.8582443441491705,0.9886319717689835,13.678053325994396,0.4
75916,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:22:50.634000Z.mseed,AXEC2,2015-04-20T00:22:50.634000Z,2015-04-20T00:22:50.634000Z,1.59,1.06,45.93672,-130.01829,1.15,265.28689739341087,5.0835978784822204,0.9095393023882081,11.75274685676981,-0.0
75917,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:23:30.884000Z.mseed,AXEC2,2015-04-20T00:23:30.884000Z,2015-04-20T00:23:30.884000Z,1.66,0.94,45.93738,-130.0193,1.347,266.59015629817185,4.729636365623894,0.9528248094065956,11.497833758869541,0.3
75919,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:24:56.783999Z.mseed,AXEC2,2015-04-20T00:24:56.783999Z,2015-04-20T00:24:56.783999Z,1.53,0.81,45.93762,-130.01782,1.307,266.8969055671364,6.868654499772699,0.9885375677753919,8.240678447010959,0.1
75921,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:26:07.254999Z.mseed,AXEC2,2015-04-20T00:26:07.254999Z,2015-04-20T00:26:07.254999Z,1.6,0.85,45.94085,-130.01003,0.375,273.38565110613405,5.6640351125635835,0.9777570208502037,9.384515459178257,0.1
75922,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:27:24.721000Z.mseed,AXEC2,2015-04-20T00:27:24.721000Z,2015-04-20T00:27:24.721000Z,1.63,0.9,45.93599,-130.02018,1.389,264.22853150464476,4.60369083556066,0.9762936538945297,15.303539960829033,-0.0
75923,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:27:58.774000Z.mseed,AXEC2,2015-04-20T00:27:58.774000Z,2015-04-20T00:27:58.774000Z,1.65,0.89,45.93878,-130.01968,1.25,269.1236598385243,5.980863608351042,0.9660917207452939,11.53168102834411,0.3
75924,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:28:37.033000Z.mseed,AXEC2,2015-04-20T00:28:37.033000Z,2015-04-20T00:28:37.033000Z,1.68,0.93,45.93915,-130.02052,1.292,269.802640214444,6.020679243970795,0.9719510037262904,11.838310762601845,1.1
75925,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:29:23.687000Z.mseed,AXEC2,2015-04-20T00:29:23.687000Z,2015-04-20T00:29:23.687000Z,1.65,0.91,45.93564,-130.02081,1.432,263.711930533526,5.202310348426149,0.9893597843262965,13.251119713306569,0.4
75926,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:29:44.953000Z.mseed,AXEC2,2015-04-20T00:29:44.953000Z,2015-04-20T00:29:44.953000Z,1.88,1.07,45.97131,-129.99211,2.913,338.7260483024053,2.853744248856165,0.9529699934540811,10.86586842228987,0.3
75927,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:29:55.262999Z.mseed,AXEC2,2015-04-20T00:29:55.262999Z,2015-04-20T00:29:55.262999Z,1.7,0.95,45.93955,-130.01984,1.234,270.50231066506115,4.064181061970242,0.9360439282684896,14.053286955966106,0.1
75930,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:31:47.445999Z.mseed,AXEC2,2015-04-20T00:31:47.445999Z,2015-04-20T00:31:47.445999Z,1.79,1.08,45.95683,-129.99568,0.252,319.05639487616963,2.5893720195879606,0.8899714325832031,10.926163884535601,0.1
75934,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:34:17.626000Z.mseed,AXEC2,2015-04-20T00:34:17.626000Z,2015-04-20T00:34:17.626000Z,0.98,0.52,45.9267,-129.98284,1.154,206.63834080730663,5.0818257654614385,0.9342832537347681,14.397595391396045,-0.0
75940,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:38:54.418999Z.mseed,AXEC2,2015-04-20T00:38:54.418999Z,2015-04-20T00:38:54.418999Z,1.58,0.9,45.93495,-130.01911,1.331,262.22429815463715,5.955975758430141,0.9019266211113555,16.552939481319495,-0.0
75943,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:46:13.798999Z.mseed,AXEC2,2015-04-20T00:46:13.798999Z,2015-04-20T00:46:13.798999Z,1.58,0.84,45.93475,-130.02099,1.464,262.21790987633585,3.618362188101762,0.8652416550560198,12.691644799879276,0.1
75944,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:47:17.039999Z.mseed,AXEC2,2015-04-20T00:47:17.039999Z,2015-04-20T00:47:17.039999Z,1.69,1.15,45.94729,-130.01932,0.633,284.20937707658663,3.2458502146237467,0.8844885460744145,18.68662253711722,0.1
75948,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T00:54:30.463999Z.mseed,AXEC2,2015-04-20T00:54:30.463999Z,2015-04-20T00:54:30.463999Z,1.75,1.0,45.94704,-130.0181,0.556,284.1286407570308,4.727907050544958,0.8545567836632214,20.37883864375491,0.2
75951,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T01:05:26.452000Z.mseed,AXEC2,2015-04-20T01:05:26.452000Z,2015-04-20T01:05:26.452000Z,1.46,0.82,45.93343,-130.01598,0.911,258.74383889329874,3.0151955244258204,0.9424013358978645,10.968052995819269,0.0
75953,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T01:08:52.908999Z.mseed,AXEC2,2015-04-20T01:08:52.908999Z,2015-04-20T01:08:52.908999Z,1.61,0.88,45.93907,-130.01801,1.091,269.6013029019151,5.370019954923689,0.9666038643154169,13.422108690518591,0.0
75955,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T01:16:14.977999Z.mseed,AXEC2,2015-04-20T01:16:14.977999Z,2015-04-20T01:16:14.977999Z,1.7,0.97,45.93871,-130.01972,1.18,268.999979209355,2.6628355456397994,0.9311662688300161,13.467482677214239,0.2
75956,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T01:16:44.506999Z.mseed,AXEC2,2015-04-20T01:16:44.506999Z,2015-04-20T01:16:44.506999Z,1.61,0.94,45.93537,-130.01985,1.289,263.0935450659131,9.07334793451576,0.9723279035869321,14.40863165905394,0.3
75959,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T01:22:54.292000Z.mseed,AXEC2,2015-04-20T01:22:54.292000Z,2015-04-20T01:22:54.292000Z,1.71,0.98,45.9414,-130.01508,0.595,274.15226981081287,3.1592529036396586,0.8716883189824783,15.471808737534248,0.0
75960,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T01:23:16.963000Z.mseed,AXEC2,2015-04-20T01:23:16.963000Z,2015-04-20T01:23:16.963000Z,1.67,0.95,45.94128,-130.01437,0.564,273.969954117316,2.9211486240040836,0.9061391930034748,10.244086858419056,0.0
75961,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T01:25:26.004999Z.mseed,AXEC2,2015-04-20T01:25:26.004999Z,2015-04-20T01:25:26.004999Z,1.82,1.24,45.95415,-130.02439,1.038,293.0265149271397,2.6865480843446568,0.9266980953044445,14.602901598284515,0.3
75962,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T01:26:29.181000Z.mseed,AXEC2,2015-04-20T01:26:29.181000Z,2015-04-20T01:26:29.181000Z,1.61,0.89,45.93568,-130.01932,1.233,263.5555260833255,7.528152370815621,0.9539501954158257,12.142134654799955,0.3
75963,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T01:27:08.907999Z.mseed,AXEC2,2015-04-20T01:27:08.907999Z,2015-04-20T01:27:08.907999Z,1.22,0.61,45.94901,-129.99458,0.405,303.5005717107208,5.725921684444545,0.9281635180093148,8.745055478940674,0.2
75967,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T01:30:17.625000Z.mseed,AXEC2,2015-04-20T01:30:17.625000Z,2015-04-20T01:30:17.625000Z,1.97,1.04,45.97535,-129.99995,0.975,333.6347614214153,2.494022265585122,0.8329738496212445,14.263951462954624,0.2
75972,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T01:51:25.044000Z.mseed,AXEC2,2015-04-20T01:51:25.044000Z,2015-04-20T01:51:25.044000Z,2.06,1.1,45.94946,-130.03107,1.233,284.48890486414814,2.72212681603604,0.9791292062637823,18.858488657571367,1.1
75974,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T01:55:21.373000Z.mseed,AXEC2,2015-04-20T01:55:21.373000Z,2015-04-20T01:55:21.373000Z,1.05,0.55,45.94676,-129.99051,0.428,302.01346635295613,3.4224765061315954,0.9687332876670377,9.328557418727348,0.0
75978,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:00:06.411999Z.mseed,AXEC2,2015-04-20T02:00:06.411999Z,2015-04-20T02:00:06.411999Z,1.64,0.91,45.9346,-130.01958,1.348,261.697008552251,6.758001360676515,0.9874989648747142,16.622061738319672,0.2
75979,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:00:29.446000Z.mseed,AXEC2,2015-04-20T02:00:29.446000Z,2015-04-20T02:00:29.446000Z,1.61,0.9,45.93484,-130.01954,1.351,262.10997896973424,6.951806296104811,0.9814845936373006,17.413867614234306,0.1
75985,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:14:11.144999Z.mseed,AXEC2,2015-04-20T02:14:11.144999Z,2015-04-20T02:14:11.144999Z,1.62,0.9,45.94364,-130.01797,0.83,278.0567617493428,3.910794753869995,0.9343938714834906,26.083515682759643,0.1
75986,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:18:09.449999Z.mseed,AXEC2,2015-04-20T02:18:09.449999Z,2015-04-20T02:18:09.449999Z,1.19,0.61,45.94845,-129.99263,0.488,304.46447851542507,2.203169877565393,0.9580180079928273,5.667055979671302,0.0
75988,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:29:50.884999Z.mseed,AXEC2,2015-04-20T02:29:50.884999Z,2015-04-20T02:29:50.884999Z,1.61,0.87,45.94093,-130.01145,0.446,273.4596186833171,4.833902409719934,0.9614540979629436,12.441046914021975,-0.0
75989,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:31:50.887000Z.mseed,AXEC2,2015-04-20T02:31:50.887000Z,2015-04-20T02:31:50.887000Z,1.65,0.88,45.9448,-130.01197,0.308,281.6177287851128,2.4185766527526176,0.8886130604648532,12.163620950075197,0.1
75990,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:33:31.989999Z.mseed,AXEC2,2015-04-20T02:33:31.989999Z,2015-04-20T02:33:31.989999Z,1.07,0.56,45.94617,-129.99274,0.56,296.90052186885896,3.929729965707144,0.9602717085656509,7.970921765684183,0.3
75992,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:34:31.135999Z.mseed,AXEC2,2015-04-20T02:34:31.135999Z,2015-04-20T02:34:31.135999Z,1.65,0.91,45.93451,-130.02006,1.364,261.6334066059477,7.456891316379567,0.9833844269081992,14.466839430067608,0.3
75994,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:35:44.676999Z.mseed,AXEC2,2015-04-20T02:35:44.676999Z,2015-04-20T02:35:44.676999Z,1.24,0.67,45.95147,-129.99516,0.576,309.0832272602481,5.324889199056935,0.9388119601077257,7.810402207866483,0.1
75997,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:42:19.117999Z.mseed,AXEC2,2015-04-20T02:42:19.117999Z,2015-04-20T02:42:19.117999Z,2.03,1.16,45.9759,-130.00075,1.313,333.28915697485627,2.053722785449378,0.8386838571160974,24.284104326254866,0.2
75998,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:42:28.736999Z.mseed,AXEC2,2015-04-20T02:42:28.736999Z,2015-04-20T02:42:28.736999Z,1.01,0.53,45.94553,-129.99144,0.494,296.1687102913502,5.21383642662594,0.9635561131548369,8.45282534421096,0.2
76001,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:47:38.610999Z.mseed,AXEC2,2015-04-20T02:47:38.610999Z,2015-04-20T02:47:38.610999Z,0.84,0.42,45.93484,-129.97777,1.619,210.5347123438232,4.73392026835992,0.9647023005095082,5.743199017270734,0.4
76003,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:47:54.351999Z.mseed,AXEC2,2015-04-20T02:47:54.351999Z,2015-04-20T02:47:54.351999Z,0.84,0.43,45.93445,-129.97765,1.568,207.9314360295104,3.4611150682848457,0.950907288661202,4.697768888776022,0.1
76007,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:48:25.254999Z.mseed,AXEC2,2015-04-20T02:48:25.254999Z,2015-04-20T02:48:25.254999Z,0.92,0.48,45.93174,-129.97748,0.179,198.64252102469675,2.2190086890467007,0.9838968346305107,7.549959417175065,0.2
76010,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:48:48.238999Z.mseed,AXEC2,2015-04-20T02:48:48.238999Z,2015-04-20T02:48:48.238999Z,0.86,0.44,45.93449,-129.97781,1.581,209.07571729400004,2.0768797367257243,0.9516189669957017,4.195428009707643,0.4
76011,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:48:54.481999Z.mseed,AXEC2,2015-04-20T02:48:54.481999Z,2015-04-20T02:48:54.481999Z,0.85,0.43,45.93436,-129.97788,1.591,208.89691083380274,3.3834658735573493,0.9610985634497492,3.8343227761549605,0.1
76013,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:49:16.080999Z.mseed,AXEC2,2015-04-20T02:49:16.080999Z,2015-04-20T02:49:16.080999Z,0.84,0.42,45.93415,-129.97775,1.571,207.23287500537546,3.5397053438101054,0.9575606049763068,4.404144172140112,0.2
76014,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:49:29.435999Z.mseed,AXEC2,2015-04-20T02:49:29.435999Z,2015-04-20T02:49:29.435999Z,0.83,0.42,45.93423,-129.97749,1.527,206.02776480493222,3.7584990293549776,0.9475788998447173,2.5248645263448655,0.1
76016,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:49:41.628000Z.mseed,AXEC2,2015-04-20T02:49:41.628000Z,2015-04-20T02:49:41.628000Z,1.13,0.3,45.93217,-129.98503,0.068,226.9570894531892,2.4542449931292745,0.9704059584070245,4.965855049395918,0.2
76017,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:49:47.670999Z.mseed,AXEC2,2015-04-20T02:49:47.670999Z,2015-04-20T02:49:47.670999Z,0.83,0.42,45.93424,-129.97786,1.584,208.25143747937736,3.8789785921380266,0.9582750554225,3.766443518239354,0.6
76018,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:49:56.326000Z.mseed,AXEC2,2015-04-20T02:49:56.326000Z,2015-04-20T02:49:56.326000Z,0.86,0.44,45.93425,-129.97757,1.575,206.5889853324985,2.2166409188418377,0.9572378737815566,5.038064271564486,1.5
76019,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:50:24.487999Z.mseed,AXEC2,2015-04-20T02:50:24.487999Z,2015-04-20T02:50:24.487999Z,0.85,0.44,45.93404,-129.97753,1.512,205.51002107228175,2.019670264154174,0.9303056810618446,6.045620105175179,0.8
76024,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:51:27.690000Z.mseed,AXEC2,2015-04-20T02:51:27.690000Z,2015-04-20T02:51:27.690000Z,0.85,0.43,45.93387,-129.97738,1.576,204.00071722408163,3.1266526215799075,0.9509923746843036,5.2439687701294915,0.3
76025,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:51:37.039999Z.mseed,AXEC2,2015-04-20T02:51:37.039999Z,2015-04-20T02:51:37.039999Z,1.57,0.89,45.94142,-130.0146,0.52,274.2325490385283,4.1419556851760495,0.9802053318900853,13.064112833957692,0.3
76036,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:54:25.347000Z.mseed,AXEC2,2015-04-20T02:54:25.347000Z,2015-04-20T02:54:25.347000Z,0.83,0.4,45.93544,-129.97844,1.65,218.12956285152728,4.314126440591121,0.9878891141042392,5.980248956449683,-0.0
76042,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:55:12.118000Z.mseed,AXEC2,2015-04-20T02:55:12.118000Z,2015-04-20T02:55:12.118000Z,0.79,0.37,45.93591,-129.97814,1.509,219.54690668146895,3.6354982733703487,0.9498477841814316,9.226654830244755,-0.0
76049,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:56:48.487000Z.mseed,AXEC2,2015-04-20T02:56:48.487000Z,2015-04-20T02:56:48.487000Z,0.82,0.43,45.93368,-129.97821,1.435,207.89003253975568,2.3397006206783466,0.9343920663036483,11.463515646814585,0.2
76052,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:57:24.923999Z.mseed,AXEC2,2015-04-20T02:57:24.923999Z,2015-04-20T02:57:24.923999Z,0.69,0.28,45.94296,-129.98337,0.97,296.93571500436747,4.103248273422392,0.9416139107962338,5.645122776377557,0.1
76055,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:58:21.382000Z.mseed,AXEC2,2015-04-20T02:58:21.382000Z,2015-04-20T02:58:21.382000Z,1.62,0.85,45.94085,-130.01111,0.416,273.3087776308405,5.35281169650832,0.9829943530400004,11.189248332869841,0.6
76056,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T02:58:35.706000Z.mseed,AXEC2,2015-04-20T02:58:35.706000Z,2015-04-20T02:58:35.706000Z,0.8,0.4,45.93498,-129.97808,1.49,213.18695104331692,2.6788162227460894,0.9713512276181375,10.33334418291939,0.1
76063,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T03:01:38.847000Z.mseed,AXEC2,2015-04-20T03:01:38.847000Z,2015-04-20T03:01:38.847000Z,0.8,0.4,45.93511,-129.978,1.494,213.42724676253678,4.462405515000735,0.9630345537230102,8.322008163210596,0.9
76067,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T03:03:02.857000Z.mseed,AXEC2,2015-04-20T03:03:02.857000Z,2015-04-20T03:03:02.857000Z,0.82,0.42,45.93491,-129.97774,1.486,210.70840757718508,2.4002653982359154,0.9581674245528581,7.814257593490783,0.4
76068,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T03:03:10.593000Z.mseed,AXEC2,2015-04-20T03:03:10.593000Z,2015-04-20T03:03:10.593000Z,0.81,0.42,45.93562,-129.97841,1.498,219.15737193033007,2.5590969508627426,0.9409602492149524,8.536417610705707,0.1
76071,passing_waveforms_data_mldd_axec2/waveforms/event_2015-04-20T03:04:08.384999Z.mseed,AXEC2,2015-04-20T03:04:08.384999Z,2015-04-20T03:04:08.384999Z,0.78,0.39,45.9354,-129.97837,1.496,217.45117024531802,3.9408638195189853,0.9595243493466725,7.453635614132258,0.8
