event_id,waveform_file,station,datetime,s_arrival_time,p_arrival_time,latitude,longitude,depth,back_azimuth,magnitude,snr_horizontal,rectilinearity_jurkevics,incidence_p_jurkevics,incidence_eigenvalue_s,incidence_pykonal_s
0,waveforms/event_2015-01-22T00-11-48.772000Z.mseed,AXAS2,2015-01-22T00:11:48.772000Z,0.568,0.328,45.941242,-130.013107,0.505,6.025876782781182,0.0,3.7006088970719233,0.9445589943224673,10.101401289502194,28.949097862420395,15.354240484910932
1,waveforms/event_2015-01-22T02-02-41.045000Z.mseed,AXAS2,2015-01-22T02:02:41.045000Z,0.585,0.345,45.941704,-130.012985,0.529,6.328404236640409,0.0,6.646926639936742,0.9011490761823537,13.06374041763158,35.78725273592809,14.821512004773414
2,waveforms/event_2015-01-22T02-41-52.308000Z.mseed,AXAS2,2015-01-22T02:41:52.308000Z,1.882,1.022,45.969482,-129.999695,1.861,16.438222507950954,0.0,3.23103083158536,0.9045417109472406,10.386794126552957,3.8014079658745477,9.558016716926033
4,waveforms/event_2015-01-22T02-50-16.026000Z.mseed,AXAS2,2015-01-22T02:50:16.026000Z,1.574,0.934,45.963005,-129.998108,1.457,21.60911479424925,0.0,2.2370051909475204,0.8971899080355842,27.127634540642365,63.15603395833554,9.921576756528136
6,waveforms/event_2015-01-22T03-00-46.754000Z.mseed,AXAS2,2015-01-22T03:00:46.754000Z,0.626,0.376,45.939075,-130.020309,1.149,321.4952480715074,0.0,4.970103397286599,0.9802444090932112,12.535935133254712,42.9966034714879,9.066564661436498
7,waveforms/event_2015-01-22T03-01-31.660000Z.mseed,AXAS2,2015-01-22T03:01:31.660000Z,1.28,0.75,45.950054,-129.99675,0.45,37.34688002367108,0.0,4.816734376077005,0.7521640656708793,19.207973208839096,38.31974190893975,9.810017652922115
8,waveforms/event_2015-01-22T03-21-07.713000Z.mseed,AXAS2,2015-01-22T03:21:07.713000Z,0.527,0.297,45.930153,-130.014069,1.106,180.38602293173233,0.0,6.79315174591411,0.7466130303513037,21.24506596418424,20.947713455141592,9.537229390288052
9,waveforms/event_2015-01-22T03-37-40.693000Z.mseed,AXAS2,2015-01-22T03:37:40.693000Z,0.697,0.407,45.94381,-130.01825,0.824,344.6432746509341,0.0,3.006749013633791,0.9100482405308581,22.8700817624551,52.65877997773928,13.151198016585786
10,waveforms/event_2015-01-22T03-40-37.373000Z.mseed,AXAS2,2015-01-22T03:40:37.373000Z,0.087,-0.383,45.953995,-130.005264,0.372,17.67600982024628,0.0,2.255953689146657,0.9633392530241714,15.439196755246718,75.44222939670935,10.851591320921855
11,waveforms/event_2015-01-22T03-43-52.227000Z.mseed,AXAS2,2015-01-22T03:43:52.227000Z,1.523,0.303,45.950581,-129.997696,0.18,34.96837541352546,0.0,2.7396129482321943,0.837370757060565,58.652155714273235,25.92057463661914,12.272808573853855
